Title,PromptURL,Description,Category,Level,PromptTags,Updated
Create Privacy Policy,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/create_privacy_policy.md,"Erstellen Sie eine umfassende und professionelle Datenschutzrichtlinie für neue Websites, die für Kunden erstellt werden. Die Datenschutzrichtlinie sollte die folgenden Aspekte...",AI 4 ENABLEMENT,Experte,"Safety, Kids, Analyse",2025-12-24
Create Terms And Conditions,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/create_terms_and_conditions.md,"Erstelle eine umfassende und detaillierte Allgemeine Geschäftsbedingungen (AGB)-Seite für eine neue Website, indem du folgende Unteraufgaben erledigst:",AI 4 ENABLEMENT,Experte,"Safety, Adoption, Content",2025-12-24
Create Timetable For Training,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/create_timetable_for_training.md,Erstellen Sie einen Zeitplan für Personal-Training-Sitzungen in einer Physiotherapiepraxis. Verwenden Sie die folgenden Richtlinien zur Organisation des Zeitplans:,AI 4 ENABLEMENT,Profi,Training,2025-12-24
Create Training Materials,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/create_training_materials.md,"Sie sind ein Mitarbeiter eines Versicherungsunternehmens, der für die Umsetzung von Gruppen-IT-Richtlinien verantwortlich ist. Für diese Aufgabe müssen Sie:",AI 4 ENABLEMENT,Profi,"Training, Template, Content",2025-12-24
Design Dei Course Structure,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/design_dei_course_structure.md,Ich entwickle einen interaktiven digitalen DEI-Kurs für Yoga- und Wellnesszentren. Der Kurs wird Studioinhaber über die wichtigsten DEI-Herausforderungen in der Wellnessbranche...,AI 4 ENABLEMENT,Profi,"Training, Workshop, Content, Strategie",2025-12-24
Dialogue Optimization For Screenplays,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/dialogue_optimization_for_screenplays.md,"Stelle mir klärende Fragen, bis du zu 95 % sicher bist, dass du die Aufgabe erfolgreich erledigen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im...",AI 4 ENABLEMENT,Profi,,2025-12-24
Dietary Supplements Regulation Overview,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/dietary_supplements_regulation_overview.md,"Erkläre die regulatorische und wissenschaftliche Landschaft hinsichtlich des Verkaufs und der Regulierung von Nahrungsergänzungsmitteln. Stelle sicher, dass deine Antwort...",AI 4 ENABLEMENT,Einsteiger,"Safety, Retail",2025-12-24
Enablement Playbook (SOPs),https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/08_enablement_playbook_sops.md,Baut ein Playbook mit Standardabläufen für wiederkehrende Adoption-Arbeit.,AI 4 ENABLEMENT,Experte,"Checkliste, Training, Adoption, Content, SOP",2025-12-24
Enablement-Training 75 Minuten,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/03_enablement_training_75_minuten.md,"Designt ein 75-Minuten-Training mit Übungen, Handout und Follow-up.",AI 4 ENABLEMENT,Experte,"Checkliste, Training, Workshop, Adoption, Email",2025-12-24
Extract Wisdom,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/extract_wisdom.md,"```markdown Ich habe ein langes Gespräch mit ChatGPT als Markdown exportiert, das verschiedene Ideen, Verbesserungen und Einblicke im Zusammenhang mit der Entwicklung eines...",AI 4 ENABLEMENT,Einsteiger,"Training, Content",2025-12-24
FAQ & Objections (AI 4 ENABLEMENT) #10,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/19_faq_objections_ai_4_enablement_10.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 ENABLEMENT,Experte,"Training, Adoption",2025-12-24
FAQ & Objections (AI 4 ENABLEMENT) #15,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/24_faq_objections_ai_4_enablement_15.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 ENABLEMENT,Experte,"Training, Adoption",2025-12-24
FAQ & Objections (AI 4 ENABLEMENT) #20,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/29_faq_objections_ai_4_enablement_20.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 ENABLEMENT,Experte,"Training, Adoption",2025-12-24
FAQ & Objections (AI 4 ENABLEMENT) #5,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/14_faq_objections_ai_4_enablement_5.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 ENABLEMENT,Experte,"Training, Adoption",2025-12-24
Fitness-Trainingsplan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_entrepreneurship/Fitness%20Training%20Plan.md,"Erstelle einen detaillierten 4-Tage-Trainingsplan, der auf gesunden und effizienten Gewichtsverlust, Muskeldefinition und Muskelaufbau ausgerichtet ist. Halte dich an die...",AI 4 ENABLEMENT,Profi,Training,2025-12-24
Game Mastery Assistant,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/game_mastery_assistant.md,"Erstelle einen Schritt-für-Schritt-Plan zur Entwicklung eines benutzerdefinierten ChatGPT, der Spielern auf jeder Plattform dabei hilft, technische Fähigkeiten zu meistern und...",AI 4 ENABLEMENT,Experte,"Training, Adoption, Analyse, Content, Strategie",2025-12-24
Improve Fable Structure,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/improve_fable_structure.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, dass du die Aufgabe erfolgreich abschließen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im...",AI 4 ENABLEMENT,Profi,,2025-12-24
Luxury Hospitality Training,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/Luxury%20Hospitality%20Training.md,"Erstellen Sie umfassende Tourismus- und Gastgewerbe-Schulungsinhalte mit Schwerpunkt auf dem Bereich der modernen Luxusgastronomie. Das Ziel ist es, Studenten und...",AI 4 ENABLEMENT,Experte,"Kids, Training, Finance, Content, Strategie",2025-12-24
Medical Record Translation,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/medical_record_translation.md,Bitte helfen Sie mir bei der folgenden Aufgabe:,AI 4 ENABLEMENT,Experte,,2025-12-24
One-Pager Builder (AI 4 ENABLEMENT) #12,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/21_one_pager_builder_ai_4_enablement_12.md,Baut eine 1-Seite Entscheidungs-/Projektübersicht.,AI 4 ENABLEMENT,Experte,"Training, Adoption, Decision",2025-12-24
One-Pager Builder (AI 4 ENABLEMENT) #17,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/26_one_pager_builder_ai_4_enablement_17.md,Baut eine 1-Seite Entscheidungs-/Projektübersicht.,AI 4 ENABLEMENT,Experte,"Training, Adoption, Decision",2025-12-24
One-Pager Builder (AI 4 ENABLEMENT) #2,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/11_one_pager_builder_ai_4_enablement_2.md,Baut eine 1-Seite Entscheidungs-/Projektübersicht.,AI 4 ENABLEMENT,Experte,"Training, Adoption, Decision",2025-12-24
One-Pager Builder (AI 4 ENABLEMENT) #7,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/16_one_pager_builder_ai_4_enablement_7.md,Baut eine 1-Seite Entscheidungs-/Projektübersicht.,AI 4 ENABLEMENT,Experte,"Training, Adoption, Decision",2025-12-24
Predicting Road Deterioration,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/predicting_road_deterioration.md,"Erstelle einen detaillierten Plan für ein Softwaresystem, das darauf ausgelegt ist, Straßenverschlechterung vorherzusagen, unter Einbeziehung gespeicherter Erinnerungen aus...",AI 4 ENABLEMENT,Einsteiger,"Analyse, Reporting",2025-12-24
Prompt-Kit für Teams,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/07_prompt_kit_fuer_teams.md,Erstellt ein kleines Prompt-Kit (10 Prompts) passend zu einem Prozess.,AI 4 ENABLEMENT,Experte,"Training, Adoption, Email, Prozesse",2025-12-24
Proofread Document,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/proofread_document.md,"Korrigiere das beigefügte Dokument in formeller, geschäftlicher und fachkundiger Weise unter Verwendung von Änderungsverfolgung, wie es ein Tool wie Grammarly tun würde.",AI 4 ENABLEMENT,Profi,Content,2025-12-24
Review & Improve (AI 4 ENABLEMENT) #1,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/10_review_improve_ai_4_enablement_1.md,"Verbessert ein bestehendes Artefakt und macht es klarer, stärker, nutzbarer.",AI 4 ENABLEMENT,Experte,"Training, Adoption",2025-12-24
Review & Improve (AI 4 ENABLEMENT) #11,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/20_review_improve_ai_4_enablement_11.md,"Verbessert ein bestehendes Artefakt und macht es klarer, stärker, nutzbarer.",AI 4 ENABLEMENT,Experte,"Training, Adoption",2025-12-24
Review & Improve (AI 4 ENABLEMENT) #16,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/25_review_improve_ai_4_enablement_16.md,"Verbessert ein bestehendes Artefakt und macht es klarer, stärker, nutzbarer.",AI 4 ENABLEMENT,Experte,"Training, Adoption",2025-12-24
Review & Improve (AI 4 ENABLEMENT) #21,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/30_review_improve_ai_4_enablement_21.md,"Verbessert ein bestehendes Artefakt und macht es klarer, stärker, nutzbarer.",AI 4 ENABLEMENT,Experte,"Training, Adoption",2025-12-24
Review & Improve (AI 4 ENABLEMENT) #6,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/15_review_improve_ai_4_enablement_6.md,"Verbessert ein bestehendes Artefakt und macht es klarer, stärker, nutzbarer.",AI 4 ENABLEMENT,Experte,"Training, Adoption",2025-12-24
Reviewictpolicies,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/ReviewIctPolicies.md,Erstelle einen umfassenden Leitfaden zur Überprüfung von IKT-Richtlinien und -Verfahren. Der Leitfaden sollte Folgendes umfassen:,AI 4 ENABLEMENT,Experte,Checkliste,2025-12-24
SaaS-Vertriebsvorschlag erstellen,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_entrepreneurship/Create%20SaaS%20Sales%20Proposal.md,"Erstelle einen umfassenden und professionellen SaaS-Vertriebsvorschlag für eine Insurtech-SaaS-Lösung, die Versicherern präsentiert werden soll. Der Vorschlag soll die...",AI 4 ENABLEMENT,Experte,"Adoption, Analyse, Prozesse, SOP, Retail",2025-12-24
Service Desk Development Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/service_desk_development_plan.md,"Erstellen Sie einen jährlichen oder vierteljährlichen Entwicklungsplan für das Service-Desk-Team, der darauf abzielt, die Effizienz zu verbessern, die Problemlösungszeiten zu...",AI 4 ENABLEMENT,Profi,"Training, Reporting, Prozesse, Strategie, SOP",2025-12-24
Stakeholder-Messaging Pack,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/02_stakeholder_messaging_pack.md,"Erstellt klare Botschaften für Vorstand, Führungskräfte, Mitarbeitende, IT/Compliance.",AI 4 ENABLEMENT,Experte,"Training, Adoption, Stakeholder",2025-12-24
Strategic Plan For Ngo,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/strategic_plan_for_ngo.md,Erstelle einen umfassenden strategischen Plan für eine Nichtregierungsorganisation (NGO) über einen Zeitraum von 5 Jahren. Der Plan sollte Folgendes enthalten:,AI 4 ENABLEMENT,Profi,"Finance, Analyse, Reporting, Prozesse, Strategie",2025-12-24
Succession Planning For Schools,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/succession_planning_for_schools.md,"Erstellen Sie einen detaillierten Nachfolgeplan für eine Schule, die von einem langjährigen, in den Ruhestand tretenden Schuldirektor zu einem neuen Nachfolger übergeht. Der...",AI 4 ENABLEMENT,Profi,"Kids, Training, Stakeholder, Prozesse, Strategie",2025-12-24
Template Pack (AI 4 ENABLEMENT) #14,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/23_template_pack_ai_4_enablement_14.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 ENABLEMENT,Experte,"Training, Adoption, Template, Email, Content",2025-12-24
Template Pack (AI 4 ENABLEMENT) #19,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/28_template_pack_ai_4_enablement_19.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 ENABLEMENT,Experte,"Training, Adoption, Template, Email, Content",2025-12-24
Template Pack (AI 4 ENABLEMENT) #4,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/13_template_pack_ai_4_enablement_4.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 ENABLEMENT,Experte,"Training, Adoption, Template, Email, Content",2025-12-24
Template Pack (AI 4 ENABLEMENT) #9,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/18_template_pack_ai_4_enablement_9.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 ENABLEMENT,Experte,"Training, Adoption, Template, Email, Content",2025-12-24
Usage-Gap Diagnose,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/01_usage_gap_diagnose.md,"Ermittelt, warum AI-Tools nicht genutzt werden und welche 3 Hebel sofort wirken.",AI 4 ENABLEMENT,Experte,"Safety, Training, Adoption, Reporting, Prozesse",2025-12-24
Visualize Diabetes Manuscript,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/visualize_diabetes_manuscript.md,Du unterstützt bei der Entwicklung eines Sachbuchs über Typ-2-Diabetes. Der Autor möchte deine Hilfe bei der Analyse des gesamten Inhalts des Manuskripts und der automatischen...,AI 4 ENABLEMENT,Profi,"Automation, Analyse, Content, Decision, Script",2025-12-24
Wellness Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/wellness_guide.md,"Erstellen Sie einen umfassenden Leitfaden zum allgemeinen Wohlbefinden, indem Sie die folgenden Komponenten behandeln:",AI 4 ENABLEMENT,Experte,"Training, Strategie",2025-12-24
Widerstand & Einwände,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/09_widerstand_einwaende.md,"Gibt dir eine Einwand-Bibliothek + Antworten, ohne defensiv zu wirken.",AI 4 ENABLEMENT,Experte,"Training, Adoption",2025-12-24
Credit Card Management Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_financial_wellbeing/credit_card_management_guide.md,"Erstelle eine detaillierte und umfassende Antwort, um einem Nutzer beim Kreditkartenmanagement zu helfen. Behandle die folgenden Unteraufgaben:",AI 4 FINANCIAL WELLBEING,Profi,"Finance, Strategie",2025-12-24
MASTER CONTEXT – AI 4 WEALTH (Financial Intelligence),https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_financial_wellbeing/00_master_context.md,"Setzt den Rahmen für Analysen, Szenarien und finanzielle Klarheit, ohne in Beratung/Produktverkauf abzurutschen.",AI 4 FINANCIAL WELLBEING,Experte,"Finance, Analyse, Wealth, Decision, Retail",2025-12-24
Strategie für Markenreputation,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_entrepreneurship/BrandReputationStrategy.md,"Erstelle einen hochwertigen ChatGPT-Prompt, der Folgendes abdeckt:",AI 4 FINANCIAL WELLBEING,Profi,"Reporting, Strategie",2025-12-24
Strategie für ein Schädlingsbekämpfungsunternehmen,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_entrepreneurship/Pest%20Control%20Business%20Strategy.md,"Du bist Geschäfts- und Marketingstrategin bzw. -stratege und unterstützt beim Start eines kleinen, unabhängig geführten Schädlingsbekämpfungsunternehmens in Simcoe County,...",AI 4 FINANCIAL WELLBEING,Profi,"Finance, Analyse, Content, Strategie",2025-12-24
Text für eine Thesis analysieren,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_textanalyse/analyze_text_for_thesis.md,"Bitte überarbeite den folgenden Text in einem akademischen Stil. Achte darauf, dass er überzeugend und gut strukturiert ist, da er den einleitenden Teil eines Thesis-Exposés...",AI 4 FINANCIAL WELLBEING,Experte,"Research, Finance, Analyse, Reporting",2025-12-24
Website-Inhalte für ein Buchhaltungsunternehmen,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_content/accounting_business_website_content.md,Erstelle Inhalte für die Website eines neuen Buchhaltungsunternehmens. Die Website soll die folgenden Abschnitte und Details enthalten:,AI 4 FINANCIAL WELLBEING,Experte,"Finance, Content, Strategie",2025-12-24
Adhd And Autism Management Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/adhd_and_autism_management_guide.md,"Erstelle einen detaillierten und einfühlsamen Leitfaden, der den Übergang vom Kämpfen zum effektiven Management von ADHS und Autismus abdeckt, mit Betonung auf positivem...",AI 4 FREE EDUCATION,Einsteiger,"Adoption, Mindset, Strategie",2025-12-24
Ai Business Enhancement Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/ai_business_enhancement_guide.md,"Erstellen Sie einen umfassenden Leitfaden zur Verwendung von KI-Tools zur Förderung und Verbesserung eines Unternehmens, das sich auf PSA (Persönliche Schutzausrüstung),...",AI 4 FREE EDUCATION,Einsteiger,"Safety, Training, Strategie",2025-12-24
Ai Database Management Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/AI%20Database%20Management%20Guide.md,"Erstelle einen umfassenden Leitfaden, wie man KI effektiv nutzt, um eine Datenbank in REDCap zu verwalten und zu analysieren. Gehe auf die folgenden Komponenten ein:",AI 4 FREE EDUCATION,Einsteiger,"Safety, Automation, Analyse, Prozesse, Strategie",2025-12-24
Analyze Prose,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/analyze_prose.md,"Ich werde dir eine von einem Studenten verfasste Fallstudie und eine Bewertungsrubrik zur Verfügung stellen. Deine Aufgabe ist es, die Fallstudie anhand der Rubrik zu bewerten...",AI 4 FREE EDUCATION,Profi,,2025-12-24
Attraction Marketing Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/attraction_marketing_guide.md,Erstelle einen umfassenden Leitfaden zur effektiven Nutzung von Attraction Marketing. Deine Antwort sollte Folgendes enthalten:,AI 4 FREE EDUCATION,Einsteiger,Strategie,2025-12-24
Blockchain Degree Certificate Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/blockchain_degree_certificate_guide.md,Erstelle einen detaillierten Leitfaden für die Entwicklung einer Blockchain-Anwendung mit Solidity für eine Universität zur Generierung von Abschlusszertifikaten. Die Anwendung...,AI 4 FREE EDUCATION,Profi,"Safety, Strategie",2025-12-24
Building Trust With Wary Dogs,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/building_trust_with_wary_dogs.md,"Ich lebe in einer Wohngemeinschaft mit einem Hund, der dort dauerhaft wohnt. Dieser Hund scheint nicht viel Aufsicht zu haben und wirkt etwas misstrauisch. Ich möchte eine...",AI 4 FREE EDUCATION,Profi,Strategie,2025-12-24
Career Transition Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/Career%20Transition%20Guide.md,"Erstellen Sie einen umfassenden Leitfaden zur Unterstützung einer Person, die von einer Karriere als Flugbegleiterin zu einem neuen Unternehmen übergehen möchte, das...",AI 4 FREE EDUCATION,Profi,"Training, Content, Strategie, Retail",2025-12-24
Comic Book Writing Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/Comic%20Book%20Writing%20Guide.md,Erstelle einen detaillierten und altersgerechten Leitfaden zum Schreiben eines Comics über Ausdauer. Der Leitfaden sollte als Lernressource strukturiert sein und die folgenden...,AI 4 FREE EDUCATION,Einsteiger,,2025-12-24
Craft Effective Midjourney Prompts,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/craft_effective_midjourney_prompts.md,Erstelle einen umfassenden Leitfaden zur Erstellung effektiver Prompts für Midjourney. Der Leitfaden sollte die folgenden Abschnitte enthalten:,AI 4 FREE EDUCATION,Experte,"Adoption, Strategie",2025-12-24
Crafting Your Dating Story,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/crafting_your_dating_story.md,"Erstelle einen umfassenden Leitfaden, der mir hilft, eine Geschichte über meine Reise in der Dating-Szene zu verfassen, mit Fokus auf die Lektionen, die ich gelernt habe....",AI 4 FREE EDUCATION,Profi,,2025-12-24
Create 5 Engaging Questions,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/create_5_engaging_questions.md,"Erstellen Sie eine Reihe von 5 überzeugenden und zum Nachdenken anregenden Fragen, die auf [spezifische Nische/Zielgruppe] zugeschnitten sind. Befolgen Sie diese Richtlinien:",AI 4 FREE EDUCATION,Einsteiger,,2025-12-24
Create Ai Business Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/create_ai_business_guide.md,Erstelle einen umfassenden Leitfaden zur Gründung eines KI-Unternehmens. Decke folgende Aspekte ab:,AI 4 FREE EDUCATION,Experte,"Finance, Strategie",2025-12-24
Create Art Prompt,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/create_art_prompt.md,"Du bist ein Prompt-Engineer, der mir hilft, stabile, konsistente Bildgenerierungen mit einem KI-Bildgenerator (wie DALL·E, Midjourney oder einem anderen visuellen Modell) zu...",AI 4 FREE EDUCATION,Profi,"Kids, Template, Prozesse",2025-12-24
Create Free Website Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/create_free_website_guide.md,Erstellen Sie einen detaillierten Leitfaden zur Erstellung einer kostenlosen Website. Fügen Sie die folgenden Unteraufgaben in Ihre Antwort ein:,AI 4 FREE EDUCATION,Einsteiger,"Finance, Template, Content, SOP",2025-12-24
Create Guidance,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/create_guidance.md,"Bitte beschreibe im Detail, wobei du Hilfe benötigst. Gib relevanten Kontext oder spezifische Punkte an, die du ansprechen möchtest. Hier sind einige Beispiele:",AI 4 FREE EDUCATION,Einsteiger,Safety,2025-12-24
Create Lofi Music Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/create_lofi_music_guide.md,"Erstelle einen detaillierten Leitfaden zur Produktion von Musik ähnlich wie YouTube's Lofi Girl, einschließlich Empfehlungen für Länge und begleitende Grafiken. Behandle...",AI 4 FREE EDUCATION,Profi,,2025-12-24
Create Prompt Engineering Format,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/create_prompt_engineering_format.md,"Stellen Sie mir klärende Fragen, bis Sie zu 95% sicher sind, dass Sie die Aufgabe erfolgreich erfüllen können. Atmen Sie tief durch und gehen Sie es Schritt für Schritt an....",AI 4 FREE EDUCATION,Einsteiger,Template,2025-12-24
