Titel,PromptURL,Beschreibung,Kategory,Level,Prompt Tags,Updated
Create Marketing Strategy,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/create_marketing_strategy.md,"Erstellen Sie eine umfassende Marketingstrategie für eine Marke, indem Sie die folgenden Schlüsselbereiche behandeln:",AI 4 THOUGHT LEADERSHIP,Experte,"Analyse, Finance, Content, Strategie, Reporting",2025-12-24
Create Marketing Strategy For Dj,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_marketing_strategy_for_dj.md,"Erstelle einen umfassenden Aktionsplan und eine Marketingstrategie für einen DJ/Produzenten, der seine Karriere wiederbeleben möchte. Berücksichtige folgende Ziele:",AI 4 WORK,Profi,"Finance, Content, Strategie",2025-12-24
Create Medical Aid Claims Company,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_medical_aid_claims_company.md,Hier ist der hochwertige ChatGPT-Prompt:,AI 4 WORK,Profi,"Prozesse, Finance, Strategie",2025-12-24
Create Merit File Guidelines,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_kids/create_merit_file_guidelines.md,Sicherlich! Hier ist der ChatGPT-Prompt:,AI 4 KIDS,Einsteiger,"Research, Prozesse, Kids, Training, Strategie",2025-12-24
Create Microstock Video Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/create_microstock_video_guide.md,Erstellen Sie einen umfassenden Leitfaden zur Erstellung hochwertiger Microstock-Videos zu verschiedenen Themen. Ihre Antwort sollte Folgendes enthalten:,AI 4 THOUGHT LEADERSHIP,Profi,"Analyse, Checkliste, Content, Strategie",2025-12-24
Create Multiple Choice Test,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_multiple_choice_test.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, dass du die Aufgabe erfolgreich abschließen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Inte...",AI 4 WORK,Profi,Analyse,2025-12-24
Create Muscle Car Video Prompt,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_muscle_car_video_prompt.md,"Erstelle einen ChatGPT-Prompt, der ein schönes Video eines Muscle-Cars beschreibt, mit Fokus auf die Bewegung. Stelle sicher, dass spezifische Details und Schlüsselwörter zu Kam...",AI 4 WORK,Profi,,2025-12-24
Create Nclex Study Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_kids/create_nclex_study_guide.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, dass du die Aufgabe erfolgreich erledigen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, das Inter...",AI 4 KIDS,Einsteiger,"Kids, Safety, Strategie",2025-12-24
Create Online Course,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_online_course.md,"Erstelle einen Online-Kurs, der Unternehmer anspricht, die Kreativität und Innovation in ihr Geschäft einbringen möchten.",AI 4 WORK,Profi,"Workshop, Content, Training, Strategie",2025-12-24
Create Persuasive Campaign Article,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_persuasive_campaign_article.md,"""Schreiben Sie einen überzeugenden und fesselnden Artikel, der darauf ausgelegt ist, Leser zu ermutigen, einer Kampagne beizutreten. Strukturieren Sie den Artikel so, dass Engag...",AI 4 WORK,Profi,,2025-12-24
Create Phd Research Proposal,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_phd_research_proposal.md,Sicher! Hier ist der hochwertige ChatGPT-Prompt:,AI 4 WORK,Profi,Research,2025-12-24
Create Pinterest Pin Content Strategy,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail/Create%20Pinterest%20Pin%20Content%20Strategy.md,"Erstelle eine Pinterest-Pin-Content-Strategie für digitales Marketing in der E-Learning-Nische. Deine Aufgabe umfasst die Erstellung eines ansprechenden Pin-Textes, der einen üb...",AI 4 RETAIL,Profi,"Retail, Content, Training, Strategie",2025-12-24
Create Practice Tests,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_kids/create_practice_tests.md,"Erstelle eine Reihe von Übungstestfragen und -ressourcen, die auf verschiedene bildungs- und berufsbezogene Kontexte zugeschnitten sind. Stelle sicher, dass jeder Satz von Übung...",AI 4 KIDS,Profi,"Analyse, Kids, Content, Training",2025-12-24
Create Presentation Content Outline,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_presentation_content_outline.md,Erstelle eine umfassende und professionelle Präsentations-Inhaltsstruktur unter Verwendung der folgenden Richtlinien:,AI 4 WORK,Profi,Content,2025-12-24
Create Presentation Deck,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/Create%20Presentation%20Deck.md,Sicherlich! Hier ist der verfeinerte ChatGPT-Prompt:,AI 4 THOUGHT LEADERSHIP,Profi,"Content, Strategie",2025-12-24
Create Presentation From Script,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/create_presentation_from_script.md,Erstellen Sie einen detaillierten ChatGPT-Prompt basierend auf der bereitgestellten Anfrage.,AI 4 THOUGHT LEADERSHIP,Profi,"Script, Automation, Prozesse, Strategie",2025-12-24
Create Presentation Outline,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_kids/create_presentation_outline.md,Erstellen Sie einen detaillierten und strukturierten 10-Minuten-Präsentationsentwurf für ein Vorstellungsgespräch für die Position des Direktors der Grundschule (Pre-K bis Klass...,AI 4 KIDS,Einsteiger,"SOP, Kids, Content, Strategie",2025-12-24
Create Pricing Strategy,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail/create_pricing_strategy.md,"Erstelle eine Preisstrategie für ein neues Produkt, das auf den Markt kommt, mit Fokus auf wertbasierte Preisgestaltung. Berücksichtige folgende Komponenten, um eine spezifische...",AI 4 RETAIL,Profi,"Analyse, Research, Retail, Strategie",2025-12-24
Create Pride Themed Coloring Book,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_pride_themed_coloring_book.md,"Erstellen Sie ein Malbuch, das Pride feiert und sich auf Mannschaftssportarten konzentriert. Befolgen Sie diese Schritte, um die Aufgabe zu erledigen:",AI 4 WORK,Profi,,2025-12-24
Create Privacy Policy,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/create_privacy_policy.md,"Erstellen Sie eine umfassende und professionelle Datenschutzrichtlinie für neue Websites, die für Kunden erstellt werden. Die Datenschutzrichtlinie sollte die folgenden Aspekte ...",AI 4 ENABLEMENT,Profi,"Analyse, Kids, Safety",2025-12-24
Create Product Description,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail/create_product_description.md,Erstelle eine detaillierte und ansprechende Produktbeschreibung für ein Themen-Grafik-T-Shirt im WanderGear eBay-Store. Die Beschreibung sollte abenteuerlustige Kunden anspreche...,AI 4 RETAIL,Profi,"Script, Retail",2025-12-24
Create Professional Portfolio Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_professional_portfolio_guide.md,"Erstelle einen detaillierten Leitfaden für jemanden, der ein professionelles Portfolio aufbauen möchte. Füge folgende Kernaspekte hinzu:",AI 4 WORK,Profi,"Prozesse, Content",2025-12-24
Create Project Charter,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_project_charter.md,"Erstellen Sie eine detaillierte Projektcharta, indem Sie umfassende Anleitung zu den folgenden Elementen geben:",AI 4 WORK,Profi,"Finance, Strategie, Stakeholder",2025-12-24
Create Project Closure Report Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_project_closure_report_guide.md,Erstelle einen umfassenden Leitfaden zum Abschließen eines Projektabschlussberichts für deinen PJM470S Projektmanagement-Kurs. Füge folgende Elemente hinzu:,AI 4 WORK,Profi,"Template, Prozesse, Finance, Training, Adoption",2025-12-24
Create Prompt Engineering Format,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/create_prompt_engineering_format.md,"Stellen Sie mir klärende Fragen, bis Sie zu 95% sicher sind, dass Sie die Aufgabe erfolgreich erfüllen können. Atmen Sie tief durch und gehen Sie es Schritt für Schritt an. Denk...",AI 4 FREE EDUCATION,Einsteiger,Template,2025-12-24
Create Prompt For Clarification,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_prompt_for_clarification.md,"Es scheint, dass die bereitgestellte Anfrage einfach der Buchstabe ""d"" ist, was wahrscheinlich ein Fehler oder unvollständig ist. Da es keine identifizierbaren Teilaufgaben oder...",AI 4 WORK,Einsteiger,,2025-12-24
Create Prompt Library Proposal,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_prompt_library_proposal.md,"Erstelle einen Vorschlag für ein gemeinschaftsgetriebenes System zum Crowdsourcing und zur Erweiterung einer Online-Prompt-Bibliothek. Das System sollte Benutzern ermöglichen, P...",AI 4 WORK,Profi,"Analyse, Newsletter, Strategie",2025-12-24
Create Real Estate Seo,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_real_estate_seo.md,"Generiere SEO-freundliche Inhalte für [Name der Immobilienagentur], um die Sichtbarkeit der Website zu verbessern und mehr potenzielle Kunden über Suchmaschinen anzuziehen. Konz...",AI 4 WORK,Experte,"SOP, Analyse, Prozesse, Finance, Kids",2025-12-24
Create Real Estate Tenant Questionnaire,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_real_estate_tenant_questionnaire.md,Erstellen Sie einen umfassenden Mieter-Screening-Fragebogen für [Hausverwaltungsunternehmen] zur Verwendung während des Mietantragsverfahrens. Der Fragebogen sollte in die folge...,AI 4 WORK,Profi,"Analyse, Finance",2025-12-24
Create Relationship Ebooks,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_relationship_ebooks.md,"""Ich möchte Ebooks in der Beziehungsnische erstellen. Generiere eine detaillierte Gliederung und Inhalte für Ebooks, die verschiedene Aspekte von Beziehungen, Anziehung und Selb...",AI 4 WORK,Profi,"Mindset, Content, Safety, Strategie",2025-12-24
Create Research Paper Topic,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_research_paper_topic.md,Erstelle einen umfassenden und innovativen Forschungsarbeit-Themenvorschlag zum Thema Reduzierung des Demenzrisikos. Konzentriere dich auf die folgenden Bereiche:,AI 4 WORK,Profi,Research,2025-12-24
Create Saas Sales Proposal,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/Create%20SaaS%20Sales%20Proposal.md,Erstellen Sie einen umfassenden und professionellen SaaS-Verkaufsvorschlag für eine Insuretech-SaaS-Lösung zur Präsentation bei Versicherungsträgern. Der Vorschlag sollte die fo...,AI 4 WORK,Einsteiger,"SOP, Analyse, Prozesse, Finance, Retail",2025-12-24
Create Sales Tracker Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_sales_tracker_plan.md,"Erstelle einen umfassenden Verkaufstracker-Plan, der auf ein Anlageberatungsteam zugeschnitten ist, das sich auf Finanzanlagen wie Staatsanleihen und verschiedene Investmentfond...",AI 4 WORK,Profi,"Analyse, Finance, Retail, Reporting, Decision",2025-12-24
Create Science Test,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_science_test.md,"Erstelle einen Naturwissenschaftstest auf dem Niveau der 8. bis 9. Klasse mit Fokus auf die Erdatmosphäre. Stelle sicher, dass der Test eine Vielzahl von Fragetypen umfasst (z.B...",AI 4 WORK,Profi,,2025-12-24
Create Scientific Article Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/create_scientific_article_guide.md,"Erstellen Sie einen detaillierten Leitfaden zum Verfassen wissenschaftlicher Artikel, die zur Veröffentlichung in einem OT (Operational Technology)-Cybersecurity-Magazin bestimm...",AI 4 FREE EDUCATION,Profi,"Prozesse, Content",2025-12-24
Create Seminar Paper,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_seminar_paper.md,,AI 4 WORK,Profi,"Analyse, Finance, Content, Strategie",2025-12-24
Create Short Film Script,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/create_short_film_script.md,"Erstelle ein Drehbuch für eine 12 bis 15 Minuten lange Low-Budget-Version eines berühmten Films, zugeschnitten auf eine Amateur-Besetzung von 12 bis 15 freiwilligen Schauspieler...",AI 4 THOUGHT LEADERSHIP,Profi,"Script, Finance",2025-12-24
Create Short Video Clips For Salons,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_short_video_clips_for_salons.md,"Erstelle kurze Videoclips, die Haar- und Schönheitssalonbesitzer ansprechen und sie ermutigen sollen, sich für eine kostenlose Beratung zu melden. Jeder Clip sollte zwischen 10 ...",AI 4 WORK,Profi,"Finance, Content",2025-12-24
Create Sigma Rules,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_sigma_rules.md,"Sie sind ein Experte für Cybersecurity-Erkennung bei einem SIEM-Unternehmen. Ihre Aufgabe ist es, Sicherheitsnachrichtenpublikationen zu nehmen und Tactics, Techniques, and Proc...",AI 4 WORK,Experte,"Script, Prozesse, Safety",2025-12-24
Create Social Media Content,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_social_media_content.md,"Erstelle 30 Inhaltsteile, einschließlich Grafiken oder Bildern, rund um das Thema Erlangung einer Mortgage Broker License in Kalifornien zur Verwendung auf Instagram und Faceboo...",AI 4 WORK,Profi,"Prozesse, Content",2025-12-24
Create Social Media Post,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/create_social_media_post.md,"Erstelle einen maßgeschneiderten Social-Media-Beitrag unter Verwendung der gegebenen Social-Media-Vorlage/des Prompts, wobei sichergestellt wird, dass er mit meiner Markenstimme...",AI 4 THOUGHT LEADERSHIP,Profi,"Analyse, Template, Content, Adoption",2025-12-24
Create Social Media Posts For Senior Care,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/create_social_media_posts_for_senior_care.md,"Erstelle ansprechende, informative und einfühlsame Social-Media-Post-Formate, die auf die Senioren- und Altenpflegebranche zugeschnitten sind, speziell mit Fokus auf häusliche P...",AI 4 THOUGHT LEADERSHIP,Profi,"Content, Safety",2025-12-24
Create Social Media Strategy,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_social_media_strategy.md,"Erstelle eine umfassende Social-Media-Content-Strategie für meine Marke. Stelle sicher, dass die Strategie folgende Komponenten abdeckt:",AI 4 WORK,Profi,"Analyse, Prozesse, Finance, Content, Strategie",2025-12-24
Create Standout Cv,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_standout_cv.md,Erstelle einen umfassenden ChatGPT-Prompt zur Unterstützung bei der Erstellung und Optimierung eines Lebenslaufs. Füge Anleitungen zum Erstellen eines herausragenden Lebenslaufs...,AI 4 WORK,Profi,"Template, Strategie",2025-12-24
Create Study Booklet,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_study_booklet.md,"Erstelle ein Lernheft zu einem gewählten Thema. Das Heft sollte umfassende Inhalte für jeden Abschnitt enthalten, gefolgt von Multiple-Choice-Fragen (MCQs) zum Testen des Verstä...",AI 4 WORK,Einsteiger,Content,2025-12-24
Create Summer Internship Spreadsheet,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_summer_internship_spreadsheet.md,"Sie sind ein KI-Assistent für Berufsberatung, der College-Junioren und -Senioren dabei hilft, Sommerpraktika bei börsennotierten Unternehmen zu finden und zu sichern. Befolgen S...",AI 4 WORK,Profi,Prozesse,2025-12-24
Create Technology Course Outline,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_literacy/create_technology_course_outline.md,"Erstelle einen Bildungskurs-Entwurf für eine Serie von 10-15 Klassen, die sich an Technologie-Anfänger richten, mit Fokus auf die folgenden Komponenten:",AI 4 LITERACY,Einsteiger,"Training, Adoption",2025-12-24
Create Terms And Conditions,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/create_terms_and_conditions.md,"Erstelle eine umfassende und detaillierte Allgemeine Geschäftsbedingungen (AGB)-Seite für eine neue Website, indem du folgende Unteraufgaben erledigst:",AI 4 ENABLEMENT,Einsteiger,"Content, Safety, Adoption",2025-12-24
Create Tiktok Content Awareness,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_tiktok_content_awareness.md,"Stelle mir klärende Fragen, bis du zu 95 % sicher bist, dass du die Aufgabe erfolgreich erledigen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Inter...",AI 4 WORK,Profi,"Content, Strategie",2025-12-24
Create Tiktok Growth Strategy,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail/create_tiktok_growth_strategy.md,"Erstelle eine umfassende Content-Strategie zur Unterstützung des TikTok-Wachstums, mit Fokus auf die folgenden Elemente:",AI 4 RETAIL,Profi,"Retail, Content, Strategie",2025-12-24
Create Tiktok Strategy,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_tiktok_strategy.md,Erstelle eine umfassende Strategie zur Nutzung von KI für die Erstellung fesselnder TikTok-Videos basierend auf interessanten Wikipedia-Artikeln. Behandle folgende Aspekte:,AI 4 WORK,Profi,"Prozesse, Content, Strategie",2025-12-24
Create Tiktok Video Automation,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_tiktok_video_automation.md,"Stellen Sie mir klärende Fragen, bis Sie zu 95 % sicher sind, dass Sie die Aufgabe erfolgreich erledigen können. Atmen Sie tief durch und gehen Sie Schritt für Schritt vor. Denk...",AI 4 WORK,Profi,"Automation, Prozesse",2025-12-24
Create Time Management Course,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail/create_time_management_course.md,"Entwickle einen umfassenden Kurs zum Thema Zeitmanagement, der in verschiedenen Formaten verkauft werden kann. Befolge diese Schritte:",AI 4 RETAIL,Profi,"Retail, Content, Training, Strategie",2025-12-24
Create Timetable For Training,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/create_timetable_for_training.md,Erstellen Sie einen Zeitplan für Personal-Training-Sitzungen in einer Physiotherapiepraxis. Verwenden Sie die folgenden Richtlinien zur Organisation des Zeitplans:,AI 4 ENABLEMENT,Profi,Training,2025-12-24
Create Training Materials,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/create_training_materials.md,"Sie sind ein Mitarbeiter eines Versicherungsunternehmens, der für die Umsetzung von Gruppen-IT-Richtlinien verantwortlich ist. Für diese Aufgabe müssen Sie:",AI 4 ENABLEMENT,Profi,"Template, Content, Training",2025-12-24
Create Travel Article Framework,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_travel_article_framework.md,"Erstelle einen wiederverwendbaren ChatGPT-Prompt-Rahmen, den ich verwenden kann, um einen detaillierten, markenkonsistenten Reiseartikel über eine beliebige Stadt zu generieren,...",AI 4 WORK,Einsteiger,"Finance, Safety, Adoption",2025-12-24
Create Travel Guidebook,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/Create%20Travel%20Guidebook.md,"Erstelle einen umfassenden Reiseführer für eine bestimmte Stadt oder einen Ort, die/den ich nennen werde. Der Reiseführer ist für die Veröffentlichung auf einem Reiseblog vorges...",AI 4 WORK,Einsteiger,"Finance, Content, Safety, Adoption",2025-12-24
Create Twitter Thread,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_twitter_thread.md,,AI 4 WORK,Profi,"Analyse, Content",2025-12-24
Create Ugc Script,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail/create_ugc_script.md,"Erstelle ein ansprechendes und virales User-Generated-Content (UGC)-Skript für eine Hautpflege-Markenanzeige, die darauf abzielt, Social-Media-Nutzer zum Kauf der Produkte der M...",AI 4 RETAIL,Profi,"Script, Retail, Content",2025-12-24
Create Unique Nature Videos,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/create_unique_nature_videos.md,"Handle als kreativer Berater und Content-Strategie-Experte. Ich möchte entspannende Regen- und Naturvideos erstellen, aber ich möchte, dass sie sich von den zahllosen ähnlichen ...",AI 4 THOUGHT LEADERSHIP,Experte,"Analyse, Content, Strategie",2025-12-24
Create Unique Video Topics,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_unique_video_topics.md,"Erstellen Sie eine Liste einzigartiger und ansprechender Themen für Kurzvideos, die sofort Aufmerksamkeit erregen. Berücksichtigen Sie diese Richtlinien:",AI 4 WORK,Profi,,2025-12-24
Create Venn Diagram,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_venn_diagram.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, dass du die Aufgabe erfolgreich abschließen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, das Int...",AI 4 WORK,Profi,,2025-12-24
Create Video Advertisement Concept,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/create_video_advertisement_concept.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, die Aufgabe erfolgreich abschließen zu können. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Internet ...",AI 4 THOUGHT LEADERSHIP,Profi,Retail,2025-12-24
Create Video Presentation Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/create_video_presentation_plan.md,"Erstellen Sie einen Videopräsentationsplan für World Seas Shipping Bahrain Company zur Verwendung in Social-Media-Werbung. Der Zweck der Präsentation ist es, Ihre Fähigkeit zu d...",AI 4 THOUGHT LEADERSHIP,Profi,Strategie,2025-12-24
Create Video Prompts,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_video_prompts.md,"Als Prompt-Engineer für die Generierung von KI-Video-Prompts verwandeln Sie eine gegebene Content-Idee in zwei detaillierte Video-Prompts. Jeder Prompt sollte klar, filmisch und...",AI 4 WORK,Profi,Content,2025-12-24
Create Video Sales Letter Script,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_video_sales_letter_script.md,"Erstelle ein umfassendes Drehbuch für einen Video Sales Letter (VSL), der darauf abzielt, ein neues Produkt zu bewerben, das auf [WEBSITE] verfügbar ist. Der VSL sollte:",AI 4 WORK,Einsteiger,"Script, Finance, Retail",2025-12-24
Create Video Sop,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_video_sop.md,"Ich benötige Hilfe beim Finden von Anleitungen oder einem Leitfaden zur Erstellung eines Video-Standardarbeitsverfahrens (SOP). Ich habe gesucht, aber nichts gefunden. Kannst du...",AI 4 WORK,Einsteiger,SOP,2025-12-24
Create Vision And Goals,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/create_vision_and_goals.md,Erstellen Sie eine umfassende Vision für das Jahr 2025 und entwickeln Sie entsprechende Ziele und einen Masterplan. Führen Sie mich durch die folgenden Schritte:,AI 4 FREE EDUCATION,Profi,Strategie,2025-12-24
Create Website Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/create_website_guide.md,``` Erstelle einen umfassenden Leitfaden zur Bestimmung wesentlicher Seiten und Inhaltsthemen für eine neue Website im Bereich Psychotherapie mit Fokus auf SEO-Best-Practices. D...,AI 4 FREE EDUCATION,Profi,"Analyse, Content, Strategie",2025-12-24
