Titel,PromptURL,Beschreibung,Kategory,Level,Prompt Tags,Updated
Facebook-Post erstellen,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_content/Create%20Facebook%20Post.md,"Erstelle einen Facebook-Post auf Basis der vom Nutzer bereitgestellten Informationen. Der Post soll die Botschaft klar vermitteln und die Zielgruppe ansprechen. Stelle sicher, d...",AI 4 THOUGHT LEADERSHIP,Profi,Content,2025-12-24
Faceless Ai Overview,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/faceless_ai_overview.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, dass du die Aufgabe erfolgreich erledigen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Intern...",AI 4 WORK,Einsteiger,,2025-12-24
Faceless Bible Stories Outline,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/faceless_bible_stories_outline.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, dass du die Aufgabe erfolgreich erledigen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, das Inter...",AI 4 THOUGHT LEADERSHIP,Profi,Script,2025-12-24
Faceless Content Generator,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/faceless_content_generator.md,"Erstelle einen anonymen Content-Generator, der:",AI 4 THOUGHT LEADERSHIP,Profi,Content,2025-12-24
Faceless Tiktok Channel Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/faceless_tiktok_channel_plan.md,"Erstellen Sie einen detaillierten Plan für den Aufbau eines erfolgreichen gesichtslosen TikTok-Kanals, der sich auf [THEMA] konzentriert. Gehen Sie auf die folgenden Aspekte ein:",AI 4 FREE EDUCATION,Einsteiger,"Analyse, Content, Strategie, Reporting",2025-12-24
Faceless Tiktok Guidance,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/faceless_tiktok_guidance.md,"Hilf mir, einen gesichtslosen TikTok-Kanal zu starten, indem du detaillierte Anleitung zu den folgenden Aspekten gibst:",AI 4 THOUGHT LEADERSHIP,Profi,"Content, Strategie",2025-12-24
Faceless Tiktok Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/faceless_tiktok_guide.md,"Erstelle einen detaillierten Leitfaden für gesichtslose TikTok-Videos mit Fokus auf die Förderung von agiler Denkweise im Bereich KI. Der Leitfaden sollte Inhaltsideen, Produkti...",AI 4 WORK,Profi,"Script, Mindset, Content, Strategie",2025-12-24
Faceless Video App,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/faceless_video_app.md,"Erstelle eine detaillierte Erklärung eines ""Faceless Video App""-Konzepts. Deine Antwort sollte folgende Punkte abdecken:",AI 4 WORK,Einsteiger,Safety,2025-12-24
Faceless Video Generator,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/faceless_video_generator.md,"Stellen Sie mir klärende Fragen, bis Sie zu 95% sicher sind, dass Sie die Aufgabe erfolgreich erfüllen können. Atmen Sie tief durch und gehen Sie es Schritt für Schritt an. Denk...",AI 4 WORK,Profi,Content,2025-12-24
Faceless Video Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail/faceless_video_guide.md,Erstelle einen detaillierten Leitfaden zur Produktion von gesichtslosen informativen Videos über einen Segel-Lebensstil unter Verwendung von generativem Video und echtem Filmmat...,AI 4 RETAIL,Einsteiger,"Retail, Content, Training, Strategie",2025-12-24
Fact Checking Norwegian Content,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/fact-checking_norwegian_content.md,"Ich schreibe ein Buch auf Norwegisch und möchte KI verwenden, um meinen Inhalt auf Fakten zu überprüfen. Bitte unterstütze mich, indem du Anleitung gibst, wie man KI, insbesonde...",AI 4 WORK,Profi,"Prozesse, Content, Fact-Check, Strategie",2025-12-24
Family Wellness Resource,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_kids/family_wellness_resource.md,"Erstelle eine wertvolle und sehr gefragte kostenlose Ressource für Mütter, um ihre Familien gesund und glücklich zu halten. Die Ressource sollte sich konzentrieren auf:",AI 4 KIDS,Einsteiger,"Checkliste, Finance, Kids, Content, Strategie",2025-12-24
Fantasy Football Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/fantasy_football_guide.md,"Erstelle einen umfassenden Leitfaden zur Unterstützung in einer Fantasy Football League, speziell einer PPR (Points Per Reception) Superflex Dynasty League. Behandle die folgend...",AI 4 FREE EDUCATION,Profi,"Analyse, Strategie, Reporting",2025-12-24
Fantasy Football Strategy,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/fantasy_football_strategy.md,"Erstelle eine Gewinnstrategie für eine Fantasy-Football-Saison und biete einige kreative Teamnamen, die hervorstechen. Stelle sicher, dass die Strategie detailliert ist und alle...",AI 4 WORK,Profi,"Strategie, Decision",2025-12-24
FAQ & Objections (AI 4 ENABLEMENT) #10,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/19_faq_objections_ai_4_enablement_10.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 ENABLEMENT,Einsteiger,"Training, Adoption",2025-12-24
FAQ & Objections (AI 4 ENABLEMENT) #15,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/24_faq_objections_ai_4_enablement_15.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 ENABLEMENT,Einsteiger,"Training, Adoption",2025-12-24
FAQ & Objections (AI 4 ENABLEMENT) #20,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/29_faq_objections_ai_4_enablement_20.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 ENABLEMENT,Einsteiger,"Training, Adoption",2025-12-24
FAQ & Objections (AI 4 ENABLEMENT) #5,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/14_faq_objections_ai_4_enablement_5.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 ENABLEMENT,Einsteiger,"Training, Adoption",2025-12-24
FAQ & Objections (AI 4 RETAIL) #10,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail_closella/20_faq_objections_ai_4_retail_10.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 RETAIL,Einsteiger,Retail,2025-12-23
FAQ & Objections (AI 4 RETAIL) #15,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail_closella/25_faq_objections_ai_4_retail_15.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 RETAIL,Einsteiger,Retail,2025-12-23
FAQ & Objections (AI 4 RETAIL) #20,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail_closella/30_faq_objections_ai_4_retail_20.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 RETAIL,Einsteiger,Retail,2025-12-23
FAQ & Objections (AI 4 RETAIL) #5,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail_closella/15_faq_objections_ai_4_retail_5.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 RETAIL,Einsteiger,Retail,2025-12-23
FAQ & Objections (AI 4 WEALTH) #10,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/20_faq_objections_ai_4_wealth_10.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 WEALTH,Einsteiger,"Finance, Wealth, Reporting",2025-12-24
FAQ & Objections (AI 4 WEALTH) #15,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/25_faq_objections_ai_4_wealth_15.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 WEALTH,Einsteiger,"Finance, Wealth, Reporting",2025-12-24
FAQ & Objections (AI 4 WEALTH) #20,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/30_faq_objections_ai_4_wealth_20.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 WEALTH,Einsteiger,"Finance, Wealth, Reporting",2025-12-24
FAQ & Objections (AI 4 WEALTH) #5,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/15_faq_objections_ai_4_wealth_5.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 WEALTH,Einsteiger,"Finance, Wealth, Reporting",2025-12-24
FAQ & Objections (AI 4 WORK) #10,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/20_faq_objections_ai_4_work_10.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 WORK,Einsteiger,"SOP, Automation, Prozesse",2025-12-24
FAQ & Objections (AI 4 WORK) #15,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/25_faq_objections_ai_4_work_15.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 WORK,Einsteiger,"SOP, Automation, Prozesse",2025-12-24
FAQ & Objections (AI 4 WORK) #20,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/30_faq_objections_ai_4_work_20.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 WORK,Einsteiger,"SOP, Automation, Prozesse",2025-12-24
FAQ & Objections (AI 4 WORK) #5,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/15_faq_objections_ai_4_work_5.md,Erstellt FAQs und Einwandbehandlung für ein Thema.,AI 4 WORK,Einsteiger,"SOP, Automation, Prozesse",2025-12-24
Farm Marketing Strategy,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_kids/farm_marketing_strategy.md,"Erstelle eine detaillierte Marketingstrategie für ein Farmunternehmen in Texas, das ungefähr 30 Acres umfasst. Diese Farm bietet eine Vielzahl von Attraktionen und Dienstleistun...",AI 4 KIDS,Profi,"Finance, Kids, Training, Strategie",2025-12-24
Fast Food Business Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/fast_food_business_guide.md,Erstelle einen detaillierten Leitfaden zur Gründung und zum Wachstum eines Fast-Food-Geschäfts in Simbabwe. Deine Antwort sollte folgende Aspekte abdecken:,AI 4 WORK,Profi,"Prozesse, Strategie",2025-12-24
Filter Job Opportunities,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/filter_job_opportunities.md,"1. Kontext: Ich verwende LinkedIn für die Jobsuche und suche typischerweise weltweit als Standort, um Rollen zu identifizieren, die für Remote-Mitarbeiter offen sind oder an Sta...",AI 4 WORK,Profi,"Script, Automation, Prozesse, LinkedIn",2025-12-24
Financial One-Pager,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/10_financial_one_pager.md,"Erstellt eine 1-Seite Übersicht für dich oder Partner:in. Bildung, keine Anlageberatung.",AI 4 WEALTH,Einsteiger,"Finance, Wealth, Reporting",2025-12-24
Finanzierung einer Highschool-Laufbahn,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_entrepreneurship/Funding%20High%20School%20Track.md,"Stelle mir Klärungsfragen, bis du zu 95 % sicher bist, dass du die Aufgabe erfolgreich erledigen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Intern...",AI 4 KIDS,Einsteiger,"Finance, Kids, Strategie",2025-12-24
Finanzierungsstrategien,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_entrepreneurship/Funding%20Strategies.md,"Erstelle einen detaillierten Plan für Solo-Unternehmerinnen und -Unternehmer, die finanzielle Unterstützung suchen und dabei bestehende Vermögenswerte erhalten wollen. Gehe auf ...",AI 4 WEALTH,Profi,"SOP, Finance, Wealth, Safety, Strategie",2025-12-24
Find Ai Tools For Data Analysis,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/find_ai_tools_for_data_analysis.md,"Erstelle einen umfassenden ChatGPT-Prompt, um die besten KI-Tools zur Datenanalyse, Erstellung von Einblicken und Generierung visueller Darstellungen zu finden:",AI 4 WORK,Einsteiger,"Analyse, Prozesse",2025-12-24
Find Clients For Business Coaching,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/find_clients_for_business_coaching.md,"Wo finde ich potenzielle Kunden, die in Business-Coaching investieren? Biete eine detaillierte Antwort, die Folgendes umfasst:",AI 4 WORK,Profi,Strategie,2025-12-24
Find Entrepreneurs Strategy,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/find_entrepreneurs_strategy.md,"Hilf mir, eine Roadmap und Strategie zu entwickeln, um 100 Business-Entrepreneure (50 russischsprachige und 50 englischsprachige) für eine kostenlose Strategiesitzung zu finden ...",AI 4 WORK,Profi,"Prozesse, Finance, Strategie, Roadmap",2025-12-24
Find Experts For Redcap Aws Integration,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/find_experts_for_redcap_aws_integration.md,"Finde mir Experten, die bei der Fehlerbehebung der Integration einer REDCap-Datenbank auf AWS helfen können. Befolge diese Schritte sorgfältig:",AI 4 WORK,Experte,"Template, LinkedIn",2025-12-24
Find Free Ai Courses,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/find_free_ai_courses.md,"Erstelle einen umfassenden Leitfaden, wie man kostenlose KI-Kurse online findet. Deine Antwort sollte Folgendes umfassen:",AI 4 FREE EDUCATION,Einsteiger,"Finance, Training",2025-12-24
Find Grants Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/find_grants_guide.md,"Erstelle einen detaillierten Leitfaden, der mir hilft, Zuschüsse für meine Geschäftsprojekte zu finden. Der Leitfaden sollte Folgendes abdecken:",AI 4 WORK,Profi,Prozesse,2025-12-24
Finding Grants For Outdoor Businesses,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/finding_grants_for_outdoor_businesses.md,"Erstelle einen umfassenden Leitfaden zur Findung von Zuschüssen für ein neues Geschäft mit Fokus auf Natur, Camping, Glamping, Landwirtschaft und Agrarwirtschaft. Deine Ausgabe ...",AI 4 WORK,Profi,"Prozesse, Finance",2025-12-24
Finding Suitable Childrens Books,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_kids/finding_suitable_childrens_books.md,"Erstellen Sie einen umfassenden Leitfaden für Eltern und Lehrer, wie man Bücher findet, die für ihre Kinder geeignet sind:",AI 4 KIDS,Profi,"Kids, Strategie",2025-12-24
Fit & Size Check,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail_closella/03_fit_size_check.md,"Hilft, Fehlkäufe zu reduzieren durch Fit-Regeln und Messpunkte.",AI 4 RETAIL,Einsteiger,"Checkliste, Script, Retail",2025-12-23
Fitness Training Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/Fitness%20Training%20Plan.md,"Erstelle einen detaillierten 4-Tage-Trainingsplan, der darauf zugeschnitten ist, Gewichtsverlust, Muskeldefinition und Muskelaufbau auf gesunde und effiziente Weise zu erreichen...",AI 4 WORK,Profi,Training,2025-12-24
Fitness-Trainingsplan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_entrepreneurship/Fitness%20Training%20Plan.md,"Erstelle einen detaillierten 4-Tage-Trainingsplan, der auf gesunden und effizienten Gewichtsverlust, Muskeldefinition und Muskelaufbau ausgerichtet ist. Halte dich an die folgen...",AI 4 ENABLEMENT,Profi,Training,2025-12-24
Floral Harmony Coloring Book Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/floral_harmony_coloring_book_plan.md,Erstelle einen detaillierten Plan für ein Malbuch mit dem Thema Floral Harmony. Dein Plan sollte Folgendes umfassen:,AI 4 WORK,Profi,"Kids, Content",2025-12-24
Flower Information Pages,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/flower_information_pages.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, die Aufgabe erfolgreich abschließen zu können. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Internet ...",AI 4 WORK,Einsteiger,,2025-12-24
Football Betting Prediction System,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/football_betting_prediction_system.md,Erstellen Sie ein KI-gesteuertes System zur Vorhersage von Online-Wett-Ergebnissen für Fußballspiele. Das System sollte die folgenden Anforderungen erfüllen:,AI 4 WORK,Profi,"Safety, Strategie",2025-12-24
Forensic Accounting Guidance,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/forensic_accounting_guidance.md,"Stellen Sie mir klärende Fragen, bis Sie zu 95% sicher sind, dass Sie die Aufgabe erfolgreich erfüllen können. Atmen Sie tief durch und gehen Sie es Schritt für Schritt an. Denk...",AI 4 WORK,Profi,"Analyse, Finance, Reporting",2025-12-24
Forex Course Outline,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/forex_course_outline.md,"Erstelle einen detaillierten 3-Wochen-Forex-Kurs, der die folgenden Themen umfassend abdeckt: Footprint Chart, Market Profile, Orderflow Trading, Delta Trading, Depth of Market,...",AI 4 WORK,Einsteiger,"Content, Training, Adoption, Strategie",2025-12-24
Foundationalnutritionfitnesscourse,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/FoundationalNutritionFitnessCourse.md,"Du bist ein Experte für Instruktionsdesign und E-Learning-Entwicklung mit fundiertem Hintergrund in Ernährungs- und Fitnessbildung. Ich baue einen E-Learning-Kurs auf, der sich ...",AI 4 FREE EDUCATION,Experte,"Content, Training, Strategie",2025-12-24
Franchise Expansion Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/franchise_expansion_plan.md,"Erstelle einen detaillierten Beratungsplan für ein Franchise-Business-Consulting-Szenario, das speziell darauf abzielt, Franchisegebern zu helfen, ihren Fußabdruck durch die Erö...",AI 4 WORK,Profi,"SOP, Analyse, Checkliste, Finance, Retail",2025-12-24
Franks Ultimate Brain Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/franks_ultimate_brain_guide.md,"Erstelle einen umfassenden und personalisierbaren Leitfaden zur Implementierung von ""Frank's Ultimate Brain"". Der Leitfaden sollte Folgendes beinhalten:",AI 4 FREE EDUCATION,Einsteiger,"SOP, Content",2025-12-24
Funding High School Track,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/Funding%20High%20School%20Track.md,"Stellen Sie mir klärende Fragen, bis Sie zu 95 % sicher sind, dass Sie die Aufgabe erfolgreich abschließen können. Atmen Sie tief durch und gehen Sie Schritt für Schritt vor. De...",AI 4 WORK,Profi,"Finance, Kids, Strategie",2025-12-24
Funding Strategies,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/Funding%20Strategies.md,"Erstelle einen detaillierten Plan für einen Einzelunternehmer, der finanzielle Unterstützung sucht und gleichzeitig bestehende Vermögenswerte erhalten möchte. Behandle die folge...",AI 4 WORK,Profi,"SOP, Finance, Wealth, Safety, Strategie",2025-12-24
Game Mastery Assistant,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/game_mastery_assistant.md,"Erstelle einen Schritt-für-Schritt-Plan zur Entwicklung eines benutzerdefinierten ChatGPT, der Spielern auf jeder Plattform dabei hilft, technische Fähigkeiten zu meistern und G...",AI 4 ENABLEMENT,Experte,"Analyse, Content, Training, Adoption, Strategie",2025-12-24
Gasesindustrycommunicationstrategy,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/gasesindustrycommunicationstrategy.md,Erstelle eine umfassende Kommunikationsstrategie für ein Unternehmen in der Gasindustrie. Deine Strategie sollte die folgenden Punkte abdecken:,AI 4 THOUGHT LEADERSHIP,Profi,"Analyse, Prozesse, Content, Newsletter, Training",2025-12-24
Gather Freelance Contacts,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/gather_freelance_contacts.md,"""Ich benötige deine Hilfe beim Sammeln von Kontaktinformationen von LinkedIn und dem Internet für Unternehmen, Magazine und Organisationen, die an meinen freiberuflichen Schreib...",AI 4 WORK,Profi,"Email, Content, LinkedIn",2025-12-24
Generate Randomized Quiz Options,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/generate_randomized_quiz_options.md,"Erstellen Sie einen Prompt zur Generierung eines randomisierten Satzes von Quiz-Antwortoptionen. Hier sind die Anforderungen, die Ihr Prompt erfüllen sollte:",AI 4 WORK,Profi,,2025-12-24
Generational Insights Masterclass,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/generational_insights_masterclass.md,"Erstelle ein tiefgehendes, datengestütztes E-Book und Masterclass-Inhalte mit Fokus auf die sechs lebenden Generationen in der heutigen Gesellschaft. Die endgültige Ausgabe soll...",AI 4 WORK,Experte,"Retail, Content, Strategie",2025-12-24
Generationaldifferencesmasterclass,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/GenerationalDifferencesMasterclass.md,Sicher! Hier ist der finale ChatGPT-Prompt:,AI 4 WORK,Profi,"Content, Strategie",2025-12-24
Gliederung für ein Dokumentarfilm-Skript,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_content/DocumentaryScriptOutline.md,"Erstelle eine Gliederung für ein Dokumentarfilm-Skript in Stichpunkten mit kurzen Erläuterungen (je 1–2 Sätze), die beim Schreiben eines 2000-Wörter-Skripts auf Basis dieser Gli...",AI 4 THOUGHT LEADERSHIP,Profi,"Script, Content",2025-12-24
Goal Setting And Achievement,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/goal_setting_and_achievement.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, die Aufgabe erfolgreich abschließen zu können. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Internet ...",AI 4 WORK,Profi,Strategie,2025-12-24
Government Contract Opportunities,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/Government%20Contract%20Opportunities.md,"Handle als Forschungsassistent mit Expertise in der Beschaffung von Regierungsauftragsmöglichkeiten. Ich möchte, dass du mir hilfst, aktuelle oder bevorstehende Auftragsmöglichk...",AI 4 WORK,Profi,"Research, Content, Training",2025-12-24
Government Rfp Response,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/government_rfp_response.md,"Nutze diesen Prompt, um eine umfassende Antwort zu generieren:",AI 4 WORK,Profi,Content,2025-12-24
Grant Application Support,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/grant_application_support.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, dass du die Aufgabe erfolgreich erledigen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, das Inter...",AI 4 WORK,Profi,"Template, Prozesse, Content, Adoption, Strategie",2025-12-24
Gre Study Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/GRE_Study_Guide.md,"""Erstelle einen detaillierten Lernleitfaden mit Schritt-für-Schritt-Anleitungen, Zeile für Zeile, wie man effektiv für den GRE lernt und ihn erfolgreich besteht. Der Leitfaden s...",AI 4 FREE EDUCATION,Profi,"Training, Strategie",2025-12-24
Gre Study Leitfaden,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_schule/GRE_Study_Guide.md,"""Erstelle einen detailed study Leitfaden with step-by-step, line-by-line instructions on how to effectively study for and successfully pass the GRE. The Leitfaden should be stru...",AI 4 FREE EDUCATION,Profi,"Kids, Training, Strategie",2025-12-24
