Titel,PromptURL,Beschreibung,Kategory,Level,Prompt Tags,Updated
How Ai Enhances Salon Marketing,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/how_ai_enhances_salon_marketing.md,"Erstelle einen umfassenden Leitfaden für Schönheitssalon-Besitzer in den Niederlanden darüber, wie KI ihnen helfen kann, in sozialen Medien zu wachsen und Salon-Marketing zu ver...",AI 4 THOUGHT LEADERSHIP,Profi,"Template, Automation, Content, Adoption, Strategie",2025-12-24
Hr Coordinator Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/hr_coordinator_guide.md,"Erstellen Sie eine umfassende Ressource und einen Lernleitfaden für einen HR Coordinator, der in einem kleinen bis mittelgroßen Unternehmen mit 50 bis 500 Mitarbeitern arbeitet....",AI 4 WORK,Profi,"Template, Checkliste, Training, Strategie",2025-12-24
Human Resource Management Project Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/human_resource_management_project_guide.md,"Erstelle einen umfassenden Leitfaden für ein zertifiziertes branchenbasiertes Personalmanagement-Projekt. Deine Antwort sollte die folgenden Abschnitte enthalten, ist aber nicht...",AI 4 WORK,Profi,"Prozesse, Strategie, Stakeholder",2025-12-24
Humanize Ai Communication,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/humanize_ai_communication.md,"Erstelle eine detaillierte und ansprechende Antwort, in der du erklärst, wie künstliche Intelligenz, insbesondere ChatGPT, humanisiert und nahbarer gemacht werden kann. Berücksi...",AI 4 WORK,Profi,,2025-12-24
Humanize Ai Text,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/humanize_ai_text.md,"""Stelle mir klärende Fragen, bis du zu 95 % sicher bist, dass du die Aufgabe erfolgreich erledigen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Inte...",AI 4 WORK,Einsteiger,Content,2025-12-24
Humanize Ai Writing,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/humanize_ai_writing.md,"Handle als KI-Schreib-Humanisierer. Deine Aufgabe ist es, KI-generierte Inhalte zu übernehmen und sie so umzuschreiben, dass sie so natürlich und authentisch wie möglich von ein...",AI 4 THOUGHT LEADERSHIP,Profi,Content,2025-12-24
Humanize Text,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/humanize_text.md,"Humanisieren Sie den folgenden Text, während Sie seine ursprüngliche Bedeutung und Absicht beibehalten. Gestalten Sie die Sprache natürlicher, ansprechender und nachvollziehbare...",AI 4 WORK,Profi,,2025-12-24
Ideen für Social-Media-Inhalte,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_content/Social%20Media%20Content%20Ideas.md,"Entwickle Ideen für Social-Media-Content, inspiriert von Künstlern wie Greg Goya und anderen innovativen Kunstschaffenden. Berücksichtige bei der Erstellung der Ideen Folgendes:",AI 4 THOUGHT LEADERSHIP,Profi,"Content, Strategie",2025-12-24
Ideen für visuelle KI-Experimente,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_content/ai_experiments_visual_content_ideas.md,"Erstelle eine informative und ansprechende Antwort zu den folgenden Aktivitäten, die über verschiedene Plattformen wie YouTube, Arbeitsprojekte, soziale Medien und KI-Experiment...",AI 4 THOUGHT LEADERSHIP,Profi,"Content, Strategie, Stakeholder",2025-12-24
Identify Cybersecurity Controls,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/identify_cybersecurity_controls.md,"Erstelle einen umfassenden ChatGPT-Prompt, der die folgenden Ziele behandelt:",AI 4 WORK,Experte,"Analyse, Safety",2025-12-24
Identify Low Competition Niches,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/identify_low_competition_niches.md,"""Ich benötige deine Hilfe, ungenutzte oder wettbewerbsarme Nischen auf Plattformen wie TikTok und YouTube zu identifizieren, die hohes Potenzial für Skalierbarkeit haben. Befolg...",AI 4 THOUGHT LEADERSHIP,Experte,"Analyse, Research, Retail, Content, Strategie",2025-12-24
Identify Target Market Strategies,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/identify_target_market_strategies.md,"Stelle mir klärende Fragen, bis du zu 95 % sicher bist, dass du die Aufgabe erfolgreich erledigen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Inter...",AI 4 WORK,Profi,"Finance, Retail, Content, Strategie",2025-12-24
IDENTITY,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail/recommend_artists.md,"Sie sind ein EDM-Experte, der sich darauf spezialisiert hat, Künstler zu identifizieren, die mir basierend auf der Eingabe einer Liste von Künstlern bei einem Festival gefallen ...",AI 4 RETAIL,Profi,"Retail, Training",2025-12-24
IDENTITY,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/extract_extraordinary_claims.md,"Du bist ein Experte im Extrahieren außergewöhnlicher Behauptungen aus Gesprächen. Das bedeutet Behauptungen, die:",AI 4 ENABLEMENT,Experte,Content,2025-12-24
IDENTITY,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/raw_query.md,"Du bist eine universelle KI, die das bestmögliche Ergebnis liefert, basierend auf der Eingabe.",AI 4 FREE EDUCATION,Einsteiger,,2025-12-24
IDENTITY,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/create_5_sentence_summary.md,"Du bist eine allwissende KI mit einem IQ von 476, die Konzepte tiefgreifend versteht.",AI 4 THOUGHT LEADERSHIP,Einsteiger,Content,2025-12-24
IDENTITY,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/rate_ai_response.md,"Du bist ein Experte für die Bewertung der Qualität von KI-Antworten und die Bestimmung, wie gut diese im Vergleich zu hochqualifizierten Menschen sind, die dieselben Aufgaben au...",AI 4 WORK,Profi,Analyse,2025-12-24
IDENTITY AND GOALS,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail/get_youtube_rss.md,"Du bist ein YouTube-Infrastruktur-Experte, der YouTube-Kanal-RSS-URLs zurückgibt.",AI 4 RETAIL,Einsteiger,Retail,2025-12-24
IDENTITY AND GOALS,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_kids/find_hidden_message.md,"Sie sind ein Experte für politische Propaganda, Analyse versteckter Botschaften in Gesprächen und Essays, Bevölkerungskontrolle durch Sprache und Schrift sowie die Erstellung po...",AI 4 KIDS,Experte,"Analyse, Kids, Content, Training, OKR",2025-12-24
IDENTITY AND GOALS,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/show_fabric_options_markmap.md,"Du bist ein fortgeschrittener UI-Builder, der eine visuelle Darstellung der Funktionalität erstellt, die dir über den Input bereitgestellt wird.",AI 4 THOUGHT LEADERSHIP,Experte,"SOP, Analyse, Script, Research, Automation",2025-12-24
IDENTITY AND GOALS,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/rate_ai_result.md,"Sie sind ein Experten-KI-Forscher und -Wissenschaftler. Sie sind darauf spezialisiert, die Qualität von KI / ML / LLM-Ergebnissen zu bewerten und Bewertungen für deren Qualität ...",AI 4 WORK,Profi,Analyse,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail/explain_docs.md,"Du bist ein Experte darin, die wichtigsten Teile von Anweisungen, Dokumentationen oder anderen Eingabeformaten, die beschreiben, wie man ein Werkzeug verwendet, zu erfassen, zu ...",AI 4 RETAIL,Profi,Retail,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_kids/extract_insights.md,"Du extrahierst überraschende, kraftvolle und interessante Erkenntnisse aus Textinhalten. Du interessierst dich für Erkenntnisse zum Sinn und Zweck des Lebens, menschlichem Gedei...",AI 4 KIDS,Einsteiger,"Kids, Content",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/create_real_estate_listing.md,"Sie sind ein KI-Assistent, dessen Hauptverantwortung darin besteht, ansprechende und informative Immobilienpräsentationen für eine Immobilienagentur zu entwerfen. Ihr Ziel ist e...",AI 4 WEALTH,Experte,"Template, Wealth, Kids, Retail, Safety",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/clean_text.md,"Du bist ein Experte im Aufräumen von defektem und fehlformatiertem Text, zum Beispiel: Zeilenumbrüche an seltsamen Stellen, etc.",AI 4 ENABLEMENT,Experte,Content,2025-12-24
IDENTITY AND PURPOSE,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/write_pull-request.md,"Du bist ein erfahrener Software-Ingenieur, der dabei ist, einen PR zu öffnen. Du bist gründlich und erklärst deine Änderungen gut, du gibst Einblicke und Begründungen für die Än...",AI 4 ENABLEMENT,Profi,Content,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/analyze_patent.md,,AI 4 FREE EDUCATION,Profi,,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_other/ai.md,"Du bist ein Experte darin, das Herz und den Geist einer Frage zu interpretieren und auf aufschlussreiche Weise zu antworten.",AI 4 OTHER,Einsteiger,,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/extract_recommendations.md,Sie sind ein Experte für die Interpretation der in einem Inhaltsstück vorhandenen Empfehlungen.,AI 4 THOUGHT LEADERSHIP,Experte,Content,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/agility_story.md,Du bist ein Experte im Agile Framework. Du verstehst User Story- und Akzeptanzkriterien-Erstellung tiefgehend. Dir wird ein Thema gegeben. Bitte schreibe die entsprechenden Info...,AI 4 WORK,Profi,"Email, Automation",2025-12-24
IDENTITY AND PURPOSE,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/guide_for_prompt_structuring.md,"Sie sind ein Experten-Leitfaden für die Strukturierung von Prompts. Ihr Ziel ist es, Benutzern zu helfen, klare und detaillierte Beschreibungen ihrer spezifischen Aufgaben oder ...",AI 4 WORK,Profi,,2025-12-24
Immobilie vs. Mieten Entscheidungslogik,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/05_immobilie_vs_mieten_entscheidungslogik.md,"Hilft beim Entscheiden ohne Ideologie. Bildung, keine Anlageberatung.",AI 4 WEALTH,Profi,"Checkliste, Finance, Wealth, Reporting, Decision",2025-12-24
Implementing Notebooklm Proposal,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/implementing_notebooklm_proposal.md,Erstelle einen detaillierten Vorschlag für die Implementierung des Google NotebookLM-Tools als KI-gestützter Wissens-Hub. Der Vorschlag sollte folgende Aspekte behandeln:,AI 4 WORK,Profi,"Prozesse, Finance",2025-12-24
Improve Academic Writing,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/improve_academic_writing.md,"Du unterstützt einen Forschungswissenschaftler im Bereich Pflanzenpathologie, speziell mit Fokus auf Reispflanzen, bei der Erstellung und Verfeinerung akademischer Texte für For...",AI 4 WORK,Profi,"Script, Research, Content",2025-12-24
Improve Engagement In Writing,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/improve_engagement_in_writing.md,"Stellen Sie mir klärende Fragen, bis Sie zu 95% sicher sind, dass Sie die Aufgabe erfolgreich erfüllen können. Atmen Sie tief durch und gehen Sie es Schritt für Schritt an. Denk...",AI 4 WORK,Profi,Content,2025-12-24
Improve Fable Structure,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/improve_fable_structure.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, dass du die Aufgabe erfolgreich abschließen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Inte...",AI 4 ENABLEMENT,Profi,,2025-12-24
Improve Marketing Skills,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/improve_marketing_skills.md,"Sie sind NETWORK SECURITY, CCTV, IT SERVICES INC und möchten Ihre Marketingfähigkeiten mit ChatGPT verbessern. Hier sind die detaillierten Aspekte, die Sie berücksichtigen sollten:",AI 4 WORK,Profi,"Email, Analyse, Finance, Content, Strategie",2025-12-24
Improve Prompt,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/improve_prompt.md,Erstelle eine Liste fortgeschrittener Prompting-Techniken zur Verbesserung der Effektivität von Instruktions-Prompts bei der Verwendung von ChatGPT. Berücksichtige die folgenden...,AI 4 WORK,Einsteiger,Strategie,2025-12-24
Improving Patient Experience Report,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/improving_patient_experience_report.md,"Erstelle einen umfassenden Entwurf für einen 20-seitigen Bericht basierend auf Patientenerfahrungsdaten, die während Enter & View Visits im Vereinigten Königreich gesammelt wurd...",AI 4 WORK,Einsteiger,"Analyse, Template, Prozesse, Adoption, Reporting",2025-12-24
Inbound Call Management Strategies,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/inbound_call_management_strategies.md,"Erstelle eine umfassende Lösung zur Bewältigung eines Problems mit eingehenden Anrufen in einer Geschäftsumgebung, in der das Personal häufig beschäftigt ist, was zu einer hohen...",AI 4 WORK,Profi,"Prozesse, Strategie",2025-12-24
Independent Channel Partner Proposal,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/independent_channel_partner_proposal.md,"Entwerfe einen Vorschlag an deine Vorgesetzten bei Healthbridge Südafrika, um ein unabhängiger Kanalpartner zu werden und die 100 Kunden in der Garden Route und im Eastern Cape ...",AI 4 WORK,Profi,Finance,2025-12-24
Independent Educational Consultants Challenges,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_kids/independent_educational_consultants_challenges.md,"Stellen Sie mir klärende Fragen, bis Sie zu 95% sicher sind, dass Sie die Aufgabe erfolgreich abschließen können. Atmen Sie tief durch und gehen Sie Schritt für Schritt vor. Den...",AI 4 KIDS,Einsteiger,"Kids, Reporting",2025-12-24
Industry Analysis Overview,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/industry_analysis_overview.md,Gib einen umfassenden Überblick über die wichtigsten Branchen. Schließe für jede Branche die folgenden Details ein:,AI 4 WORK,Einsteiger,"Analyse, Finance",2025-12-24
Inhalte zu Gesundheit und Wohlbefinden,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_content/Health%20And%20Wellness%20Content.md,"Erstelle einen umfassenden ChatGPT-Prompt für eine Autorin oder einen Autor von Gesundheits- und Wellness-Inhalten, die sich an Menschen mit chronischen Erkrankungen, Wellness-I...",AI 4 THOUGHT LEADERSHIP,Profi,"Content, Strategie",2025-12-24
Instagram Growth Strategy,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/Instagram%20Growth%20Strategy.md,"Du bist ein Social-Media-Stratege und Kleinunternehmensberater. Erstelle eine umfassende Schritt-für-Schritt-Instagram-Wachstumsstrategie für eine neue Instagram-Seite, die um e...",AI 4 THOUGHT LEADERSHIP,Profi,"Content, Safety, Training, Strategie",2025-12-24
Instagram Strategy For Wellness Coaches,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/instagram_strategy_for_wellness_coaches.md,"Ich führe Marktforschung durch, um die Herausforderungen, Wünsche und Einwände von Wellness-Coaches zu verstehen, einschließlich Mental Health Coaches, Beziehungs-Coaches, Famil...",AI 4 WORK,Profi,"Analyse, Research, Content, Strategie",2025-12-24
Instagram Strategy Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/instagram_strategy_guide.md,"Ich möchte mein Verständnis und meine Nutzung von KI verbessern, insbesondere für die Erstellung effektiver Instagram-Posts. Ich investiere derzeit Geld in Online-Werbung, fühle...",AI 4 FREE EDUCATION,Einsteiger,Strategie,2025-12-24
Instagram-Wachstumsstrategie,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_entrepreneurship/Instagram%20Growth%20Strategy.md,"Du bist Social-Media-Strategin bzw. -Stratege und Kleinunternehmensberater. Erstelle eine umfassende, Schritt-für-Schritt-Instagram-Wachstumsstrategie für eine neue Instagram-Se...",AI 4 THOUGHT LEADERSHIP,Profi,"Content, Safety, Training, Strategie",2025-12-24
Instagramaireelsstrategy,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/InstagramAIReelsStrategy.md,"Erstelle eine detaillierte Strategie zur Nutzung von KI für die Erstellung von Instagram Reels mit Fokus darauf, Einzelpersonen zu helfen, in Form zu kommen und das Körperbewuss...",AI 4 WORK,Profi,"Content, Strategie",2025-12-24
Integrate Chatbot Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/integrate_chatbot_guide.md,Erstelle einen detaillierten und umfassenden Leitfaden zur Integration eines benutzerdefinierten GPT-ähnlichen Chatbots in eine Website. Deine Antwort sollte Folgendes enthalten:,AI 4 FREE EDUCATION,Einsteiger,"Script, Strategie",2025-12-24
Internal Audit Program Template,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/Internal%20Audit%20Program%20Template.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, dass du die Aufgabe erfolgreich abschließen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Inte...",AI 4 WORK,Experte,"Template, Prozesse",2025-12-24
Internal Audit Program Vorlage,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_unk/Internal%20Audit%20Program%20Template.md,Stelle mir clarifying Fragen until you are 95% confident you can complete the task successfully. Atme tief durch and take it Schritt für Schritt. Remember to search the internet...,AI 4 WORK,Experte,"Template, Prozesse",2025-12-24
Interview Entrepreneurs Roadmap,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/interview_entrepreneurs_roadmap.md,"Hilf mir, einen Fahrplan und eine Strategie zu entwickeln, um 100 Geschäftsunternehmer (50 russischsprachige und 50 englischsprachige) für eine kostenlose Strategie-Session zu f...",AI 4 WORK,Profi,"Prozesse, Finance, Strategie, Roadmap",2025-12-24
Interview Strategies,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/interview_strategies.md,"Stellen Sie mir klärende Fragen, bis Sie zu 95 % sicher sind, dass Sie die Aufgabe erfolgreich abschließen können. Atmen Sie tief durch und gehen Sie Schritt für Schritt vor. De...",AI 4 WORK,Profi,Strategie,2025-12-24
Investitionsplan erstellen,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_entrepreneurship/Create%20Investment%20Plan.md,"Erstelle einen Investitionsplan für ein diversifiziertes Portfolio, das Dividendenaktien, Anlagen bei Fidelity und Hochzins-Sparkonten umfasst. Berücksichtige die folgenden Komp...",AI 4 WEALTH,Profi,"Finance, Wealth, Strategie",2025-12-24
Investment Course Development,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/investment_course_development.md,"Erstelle einen umfassenden Schritt-für-Schritt-Kurs über Investitionen, der auf das Publikum in Uganda zugeschnitten ist und sowohl für Anfänger als auch für fortgeschrittene Le...",AI 4 WEALTH,Einsteiger,"SOP, Analyse, Wealth, Content, Training",2025-12-24
Investment Opportunities Botswana,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/investment_opportunities_botswana.md,"Geben Sie einen umfassenden Überblick über die Arten von Investitionsmöglichkeiten, die speziell in Botswana verfügbar sind und einer Einzelperson helfen können, ihr Bankguthabe...",AI 4 WEALTH,Profi,"SOP, Wealth, Content, Training",2025-12-24
Jahres-Review (Finanzen),https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/08_jahres_review_finanzen.md,"Schreibt einen Jahresrückblick wie ein CFO-Report. Bildung, keine Anlageberatung.",AI 4 WEALTH,Einsteiger,"Finance, Wealth, Reporting",2025-12-24
Job Application Assistance,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/job_application_assistance.md,"``` Ich habe eine Stellenausschreibung gefunden, die mich interessiert, bin mir aber unsicher, wie ich mit einer Bewerbung fortfahren soll. Bitte helfen Sie mir, mich Schritt fü...",AI 4 WORK,Experte,"Email, Analyse, Prozesse, Finance, Content",2025-12-24
Job Application Preparation,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/job_application_preparation.md,"``` Sie haben eine Stellenausschreibung, auf die Sie sich bewerben möchten. Befolgen Sie die folgenden Schritte, um sich auf diese Bewerbung vorzubereiten:",AI 4 WORK,Einsteiger,"Email, Prozesse, Finance, Training",2025-12-24
Job Application Preparation Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/job_application_preparation_guide.md,"Erstelle einen umfassenden Leitfaden, um einem Kandidaten mit minimaler Erfahrung, möglicherweise jemandem, der einen kleinen YouTube-Kanal hat, zu helfen, sich effektiv auf ein...",AI 4 WORK,Experte,"Email, Analyse, Finance, Training, Strategie",2025-12-24
