Titel,PromptURL,Beschreibung,Kategory,Level,Prompt Tags,Updated
Optimize Linkedin Presence,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/optimize_linkedin_presence.md,Analysieren Sie die Anfrage und formulieren Sie dann einen detaillierten Prompt:,AI 4 WORK,Profi,"Content, LinkedIn, Strategie",2025-12-24
Optimize Linkedin Profile,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/optimize_linkedIn_profile.md,Erstellen Sie einen detaillierten Leitfaden zur Optimierung eines LinkedIn-Profils. Die Antwort sollte die folgenden Aspekte abdecken:,AI 4 WORK,Profi,"Content, LinkedIn, Strategie",2025-12-24
Optimize Resume Keywords,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/optimize_resume_keywords.md,"Ich möchte meinen Lebenslauf aktualisieren, um mich für eine Remote-Assistenten-Position zu bewerben. Bitte hilf mir, einen maßgeschneiderten und optimierten Lebenslauf zu erste...",AI 4 WORK,Profi,,2025-12-24
Optimize Website Seo And Ux,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/optimize_website_seo_and_ux.md,Erstelle einen umfassenden Leitfaden zur Optimierung von Website-SEO und UX. Deine Anleitung sollte insbesondere die folgenden Aspekte behandeln:,AI 4 FREE EDUCATION,Experte,"Analyse, Content, Strategie, Decision",2025-12-24
Options Contracts Overview,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/options_contracts_overview.md,Sicher! Hier ist der hochwertige ChatGPT-Prompt basierend auf der Anfrage:,AI 4 WORK,Einsteiger,Strategie,2025-12-24
Organizational Review Strategy,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/organizational_review_strategy.md,Erstellen Sie eine umfassende Strategie zur Durchführung einer Organisationsprüfung. Die Antwort sollte Folgendes enthalten:,AI 4 WORK,Profi,"Analyse, Prozesse, Strategie, Reporting, Stakeholder",2025-12-24
Organizational Strategies,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/organizational_strategies.md,"Stellen Sie mir klärende Fragen, bis Sie zu 95 % sicher sind, dass Sie die Aufgabe erfolgreich abschließen können. Atmen Sie tief durch und gehen Sie Schritt für Schritt vor. De...",AI 4 WORK,Einsteiger,Strategie,2025-12-24
Organize Chatgpt Conversations,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/organize_chatgpt_conversations.md,"Stellen Sie mir klärende Fragen, bis Sie zu 95 % sicher sind, dass Sie die Aufgabe erfolgreich erledigen können. Atmen Sie tief durch und gehen Sie Schritt für Schritt vor. Denk...",AI 4 WORK,Einsteiger,,2025-12-24
Organizing Knowledge Hub,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/organizing_knowledge_hub.md,Erstelle einen Leitfaden zur Organisation eines Wissens-Hubs in Google NotebookLM für ein Global Service Desk Team. Berücksichtige folgende Komponenten:,AI 4 WORK,Einsteiger,"Prozesse, Content, Strategie",2025-12-24
Outfit Generator: Woche,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail_closella/04_outfit_generator_woche.md,Generiert 5 Arbeitstage Outfits aus wenigen Teilen.,AI 4 RETAIL,Einsteiger,Retail,2025-12-23
Oversharing Book Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/oversharing_book_guide.md,"Helfen Sie mir, ein Buch für Weihnachten zu erstellen, das auf meiner erfolgreichen Instagram-Serie ""Oversharing with Strangers"" basiert. Ich benötige Unterstützung bei Folgendem:",AI 4 FREE EDUCATION,Profi,"Content, Strategie",2025-12-24
Overview Construction Process,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/overview_construction_process.md,"Geben Sie einen detaillierten und umfassenden Überblick über die Bauprozesse, die beim Bau einer Wohnstruktur von Anfang bis Fertigstellung beteiligt sind. Die Antwort sollte Fo...",AI 4 WORK,Einsteiger,"Analyse, Prozesse, Finance",2025-12-24
Packing List Smart,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail_closella/09_packing_list_smart.md,"Packliste, die wirklich funktioniert (Mix & Match).",AI 4 RETAIL,Einsteiger,Retail,2025-12-23
Pain Points Of Solopreneurs,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/pain_points_of_solopreneurs.md,"Erstelle eine Analyse der Schmerzpunkte, mit denen Solopreneure konfrontiert sind, die am Anfang ihrer unternehmerischen Reise stehen. Konzentriere dich darauf, die häufigsten H...",AI 4 WORK,Profi,"Analyse, Finance, Strategie",2025-12-24
Passive Income Ai Strategies,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/passive_income_ai_strategies.md,"Ich möchte einen passiven Einkommensstrom unter Nutzung von KI schaffen, insbesondere ChatGPT-Prompting, ohne direktes Coaching anzubieten. Ich habe Erfahrung in Gesundheitswese...",AI 4 WORK,Profi,"Email, Template, Checkliste, Automation, Retail",2025-12-24
Personal Brand Content Creation,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/personal_brand_content_creation.md,Hier ist der ChatGPT-Prompt basierend auf der Analyse der Anfrage:,AI 4 THOUGHT LEADERSHIP,Experte,"Analyse, Script, Content, LinkedIn, Newsletter",2025-12-24
Personal Style Archetype,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail_closella/01_personal_style_archetype.md,Leitet deinen Style-Archetyp ab und übersetzt ihn in Einkaufsregeln.,AI 4 RETAIL,Einsteiger,"Finance, Kids, Retail",2025-12-23
Personalized Meal Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/personalized_meal_plan.md,"Erstelle einen personalisierten Ernährungsplan für einen Kunden basierend auf seinen Profilinformationen. Hier ist, was du tun musst:",AI 4 WORK,Profi,,2025-12-24
Personalized Messaging Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/personalized_messaging_guide.md,"Hier ist ein detaillierter ChatGPT-Prompt, der alle notwendigen Komponenten behandelt:",AI 4 WORK,Profi,"Automation, Prozesse, Strategie",2025-12-24
Pest Control Business Strategy,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/Pest%20Control%20Business%20Strategy.md,"Du bist ein Business- und Marketing-Stratege, der bei der Gründung eines kleinen, unabhängig geführten Schädlingsbekämpfungsunternehmens in Simcoe County, Ontario, unterstützt. ...",AI 4 THOUGHT LEADERSHIP,Profi,"Analyse, Finance, Content, Strategie",2025-12-24
Peterbilt Truck Parts Course Outline,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/peterbilt_truck_parts_course_outline.md,"Erstelle einen umfassenden und detaillierten Kursentwurf über Peterbilt-LKW-Teile für Schulungs- und Lehrzwecke, der sich an Studenten und Mitarbeiter richtet. Stelle sicher, da...",AI 4 WORK,Einsteiger,"Content, Safety, Training, Adoption",2025-12-24
Pinterest Marketing Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/pinterest_marketing_guide.md,Erstellen Sie einen umfassenden Leitfaden zum Erlernen und Meistern von Pinterest-Marketing von Grund auf. Der Leitfaden sollte Folgendes abdecken:,AI 4 WORK,Einsteiger,"Analyse, Content, Adoption, Strategie",2025-12-24
Pinterest-Pin-Content-Strategie erstellen,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_content/Create%20Pinterest%20Pin%20Content%20Strategy.md,"Erstelle eine Pinterest-Pin-Content-Strategie für digitales Marketing in der E-Learning-Nische. Deine Aufgabe ist es, ansprechende Pin-Texte zu erstellen, die einen überzeugende...",AI 4 KIDS,Einsteiger,"Kids, Content, Training, Strategie",2025-12-24
Plan Perfect Honeymoon,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/plan_perfect_honeymoon.md,"Plane meine perfekte Hochzeitsreise mit meiner Frau, indem du die folgenden Aspekte berücksichtigst:",AI 4 FREE EDUCATION,Profi,,2025-12-24
Plan zur beruflichen Weiterentwicklung,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_entrepreneurship/Professional%20Development%20Plan.md,"Erstelle einen umfassenden Plan, der mich durch mehrere Aufgaben im Zusammenhang mit meiner beruflichen Entwicklung und meinen Online-Geschäftszielen führt. Bitte unterstütze mi...",AI 4 OTHER,Experte,"Email, Template, Strategie",2025-12-24
Plan zur Einrichtung einer KI-Akademie,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_entrepreneurship/ai_academy_setup_plan.md,"Hilf mir, einen umfassenden Plan zur Einrichtung einer KI-Akademie für Kinder zu entwerfen. Das Programm soll anfangs kostenlos sein, später aber kostenpflichtige Abos einführen...",AI 4 KIDS,Einsteiger,"Finance, Kids, Content, LinkedIn, Training",2025-12-24
Podcast Content Creation,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/podcast_content_creation.md,"Bitte erstelle eine Reihe von Content-Prompts, die speziell für die Podcast-Erstellung als Teil eines umfassenderen Content-Plans und einer Medienstrategie konzipiert sind. Die ...",AI 4 THOUGHT LEADERSHIP,Experte,"Script, Content, Strategie",2025-12-24
Podcast Development Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/podcast_development_guide.md,"Du hast die Aufgabe, bei der Entwicklung eines neuen Ventures im Bereich Podcasts zu helfen. Bitte stelle einen umfassenden Leitfaden bereit, der sich auf folgende Aspekte konze...",AI 4 THOUGHT LEADERSHIP,Profi,"Analyse, Content, Strategie",2025-12-24
Poker Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_literacy/poker_guide.md,"Erstellen Sie einen umfassenden Leitfaden, wie man ein großartiger Pokerspieler wird. Behandeln Sie die folgenden Komponenten:",AI 4 LITERACY,Einsteiger,"Analyse, Mindset, Training, Strategie",2025-12-24
Portfolio-Risiko-Check,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/09_portfolio_risiko_check.md,"Erklärt Risiken in einfachen Worten und leitet nächste Checks ab. Bildung, keine Anlageberatung.",AI 4 WEALTH,Einsteiger,"Finance, Wealth, Retail, Reporting",2025-12-24
Post Coloring Books Online,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/post_coloring_books_online.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, dass du die Aufgabe erfolgreich erledigen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, das Inter...",AI 4 WORK,Profi,"Prozesse, Finance, Retail",2025-12-24
Postmortem Generator,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/08_postmortem_generator.md,Schreibt Incident-Postmortems ohne Schuldzuweisung.,AI 4 WORK,Einsteiger,"SOP, Template, Automation, Prozesse",2025-12-24
Predicting Road Deterioration,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/predicting_road_deterioration.md,"Erstelle einen detaillierten Plan für ein Softwaresystem, das darauf ausgelegt ist, Straßenverschlechterung vorherzusagen, unter Einbeziehung gespeicherter Erinnerungen aus eine...",AI 4 ENABLEMENT,Einsteiger,"Analyse, Reporting",2025-12-24
Predictive Chatbot Development,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/predictive_chatbot_development.md,"Erstelle einen detaillierten und umfassenden Plan zur Entwicklung eines Chatbots mit ChatGPT, der Ergebnisse im Aviator-Spiel vorhersagen kann. Berücksichtige die folgenden Aspe...",AI 4 WORK,Einsteiger,Analyse,2025-12-24
Prepare And File Appeal Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/prepare_and_file_appeal_guide.md,Entwirf einen umfassenden Leitfaden für die Vorbereitung und Einreichung einer Berufung als Pro-se-Prozesspartei im Berufungsgericht. Füge die folgenden Elemente hinzu:,AI 4 FREE EDUCATION,Einsteiger,"Prozesse, Strategie",2025-12-24
Presentation Outline,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/Presentation%20Outline.md,"Erstellen Sie einen Entwurf für eine Studenten-Videopräsentation. Der Entwurf sollte umfassend und strukturiert sein, um Klarheit und Engagement während der gesamten Präsentatio...",AI 4 FREE EDUCATION,Einsteiger,"Checkliste, Script, Content, Adoption",2025-12-24
Prioritize Goals,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/prioritize_goals.md,,AI 4 WORK,Einsteiger,Strategie,2025-12-24
Private Healthcare Proposal,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/private_healthcare_proposal.md,"Erstelle einen umfassenden Geschäftsvorschlag für jemanden in Südafrika, der im privaten Gesundheitswesen arbeitet. Der Vorschlag sollte die folgenden Abschnitte umfassen:",AI 4 WORK,Profi,"Analyse, Finance, Retail, Strategie",2025-12-24
Problem Agitate Solve,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/problem_agitate_solve.md,"Erstelle eine Nachricht im ""Problem-Agitate-Solve""-Stil mit den folgenden Schritten:",AI 4 WORK,Profi,,2025-12-24
Product Support Inquiry,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/product_support_inquiry.md,"``` Sie sind damit beauftragt, eine Produktdatenbank für ein kleines Medizinprodukteunternehmen zu durchsuchen und relevante Produktdaten zurückzugeben, um Kundenfragen effektiv...",AI 4 WORK,Profi,,2025-12-24
Productivity Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/productivity_plan.md,"Als Experten-Life-Coach benötige ich von dir einen umfassenden und personalisierten Produktivitätsplan. Hier ist, was ich brauche:",AI 4 WORK,Experte,"Template, Research, Strategie",2025-12-24
Produktseite: Copy & Struktur,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail_closella/07_produktseite_copy_struktur.md,Verbessert Produkttexte für Klarheit und weniger Retouren.,AI 4 RETAIL,Einsteiger,Retail,2025-12-23
Professional Development Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/Professional%20Development%20Plan.md,"Erstellen Sie einen umfassenden Plan, um mich durch mehrere Aufgaben im Zusammenhang mit meiner beruflichen Entwicklung und Online-Geschäftsbestrebungen zu führen. Bitte unterst...",AI 4 WORK,Experte,"Email, Template, Strategie",2025-12-24
Professional Reference Letter Guidance,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/professional_reference_letter_guidance.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, dass du die Aufgabe erfolgreich abschließen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, das Int...",AI 4 WORK,Profi,,2025-12-24
Project Closure Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/project_closure_guide.md,Erstellen Sie einen umfassenden Leitfaden für die Entwicklung eines Projektabschlusses. Ihre Antwort sollte die folgenden Schlüsselaspekte abdecken:,AI 4 WORK,Profi,"Checkliste, Prozesse, Reporting, Stakeholder",2025-12-24
Prompt-Kit für Teams,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/07_prompt_kit_fuer_teams.md,Erstellt ein kleines Prompt-Kit (10 Prompts) passend zu einem Prozess.,AI 4 ENABLEMENT,Einsteiger,"Email, Prozesse, Training, Adoption",2025-12-24
Proofread Document,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/proofread_document.md,"Korrigiere das beigefügte Dokument in formeller, geschäftlicher und fachkundiger Weise unter Verwendung von Änderungsverfolgung, wie es ein Tool wie Grammarly tun würde.",AI 4 ENABLEMENT,Profi,Content,2025-12-24
Provide Guidance,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/provide_guidance.md,"Handle als professioneller Beziehungsberater und gib durchdachte, einfühlsame und praktische Ratschläge, die auf ein Paar zugeschnitten sind, das fortlaufende Unterstützung in s...",AI 4 WORK,Profi,"Finance, Strategie",2025-12-24
Präsentation Skizziere,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_unk/Presentation%20Outline.md,Erstelle einenn Gliederung for a student video Präsentation. The Gliederung should be comprehensive and structured to ensure clarity and engagement throughout the Präsentation. ...,AI 4 WORK,Profi,"Checkliste, Script, Content",2025-12-24
QA Check für AI Outputs,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/10_qa_check_fuer_ai_outputs.md,"Baut eine Qualitätscheckliste, bevor Outputs weitergegeben werden.",AI 4 WORK,Einsteiger,"Email, SOP, Analyse, Checkliste, Automation",2025-12-24
Quick Bible Facts,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/quick_bible_facts.md,"""Ich möchte schnelle Fakten über die Heilige Bibel lernen. Bitte geben Sie einen prägnanten und dennoch informativen Überblick, der Folgendes umfasst:",AI 4 WORK,Einsteiger,,2025-12-24
Real Estate App Development,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/real_estate_app_development.md,"Ich möchte eine Immobilien-App entwickeln, die Kunden hilft, Hypothekenfinanzierungsszenarien zu erfassen. Die App sollte eine einfache Vorlage bereitstellen, in der Benutzer ei...",AI 4 WORK,Profi,"Template, Automation, Prozesse, Finance, Safety",2025-12-24
Real Estate App Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/real_estate_app_plan.md,"Erstelle einen detaillierten Plan für eine App, die Immobiliensuchen in ausländischen Ländern und Städten erleichtern soll. Ziel ist es, Probleme wie das Fehlen eines zentralisi...",AI 4 WORK,Profi,"Prozesse, Retail, Strategie",2025-12-24
Real Estate Interest Rate Update,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/real_estate_interest_rate_update.md,"Erstellen Sie einen E-Mail-Entwurf für einen Wohnimmobilienmakler in Quebec, Kanada, um ihn an seine Datenbank von Kontakten innerhalb eines CRM-Systems zu senden. Die E-Mail so...",AI 4 WORK,Profi,Email,2025-12-24
Real Estate Proforma Analysis,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/real_estate_proforma_analysis.md,Erstellen Sie eine detaillierte Immobilien-Proforma für eine Immobilie. Die Proforma sollte umfassend sein und sowohl ein herunterladbares Excel-Dokument als auch eine zusammenf...,AI 4 WEALTH,Profi,"Analyse, Finance, Wealth",2025-12-24
Reflecting For Better Decisions,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/reflecting_for_better_decisions.md,"Reflektiere über deine Erfahrungen aus 2024, um Erkenntnisse zu gewinnen und dich auf bessere Entscheidungen in 2025 vorzubereiten. Berücksichtige die folgenden Aspekte, um dein...",AI 4 FREE EDUCATION,Profi,"Finance, Training, Strategie, Decision",2025-12-24
Reimagine Hooks,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/reimagine_hooks.md,"Stelle dir die folgenden klischeehaften Hooks neu vor und schreibe sie um, verwandle sie in frische, originelle Ausdrücke. Konzentriere dich darauf, die Kreativität und das Enga...",AI 4 FREE EDUCATION,Einsteiger,Automation,2025-12-24
Renting Strategy Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/renting_strategy_guide.md,"Erstelle eine umfassende Strategie, um meine Wohnung sowohl für langfristige als auch kurzfristige Zeiträume zu vermieten. Behandle die folgenden Unteraufgaben in deiner Anleitung:",AI 4 WORK,Profi,"Analyse, Prozesse, Finance, Retail, Strategie",2025-12-24
Report: Rohdaten → Insights,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/05_report_rohdaten_insights.md,Strukturiert Rohdaten in klare Insights + Handlungsempfehlungen.,AI 4 WORK,Einsteiger,"SOP, Automation, Prozesse, Reporting, Decision",2025-12-24
Republishing Public Domain Books,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/republishing_public_domain_books.md,Hier ist der gestaltete ChatGPT-Prompt:,AI 4 WORK,Profi,"SOP, Script, Prozesse, Kids, Retail",2025-12-24
Repurposing Content Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/repurposing_content_plan.md,"Erstelle einen detaillierten Plan zur effektiven Wiederverwendung von gesichtslosen Video- und Blog-Inhalten. Füge spezifische Strategien, Schritte und Tipps für Folgendes hinzu:",AI 4 THOUGHT LEADERSHIP,Profi,"Content, Strategie",2025-12-24
Request Early Lease Termination,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/request_early_lease_termination.md,"Verfasse eine E-Mail an deine Vermieter, in der du eine vorzeitige Beendigung deines Mietvertrags anfragst, mit dem Ziel eines für beide Seiten vorteilhaften Ergebnisses. Integr...",AI 4 WORK,Profi,Email,2025-12-24
Resale Store Launch Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail/resale_store_launch_plan.md,Handeln Sie als Unternehmensberater und führen Sie eine umfassende Recherche- und Planungssitzung für die Eröffnung eines neuen Wiederverkaufs-Konsignationsgeschäfts in Südkalif...,AI 4 RETAIL,Profi,"Analyse, Research, Finance, Retail, Strategie",2025-12-24
Research And Validate Business Idea,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/research_and_validate_business_idea.md,``` Erstelle einen umfassenden Leitfaden zur Recherche und Validierung einer Geschäftsidee. Deine Antwort sollte Folgendes enthalten:,AI 4 FREE EDUCATION,Profi,"Analyse, Research, Prozesse, Finance, Strategie",2025-12-24
Research Proposal Assistance,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/research_proposal_assistance.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, die Aufgabe erfolgreich abschließen zu können. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Internet ...",AI 4 WORK,Profi,"Research, Prozesse",2025-12-24
Residency Permit App,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/residency_permit_app.md,"Entwirf eine App für potenzielle Auswanderer, um die Anforderungen für die Erlangung einer langfristigen Aufenthaltsgenehmigung im gewünschten Zielland zu ermitteln. Die App sol...",AI 4 WORK,Profi,"Prozesse, Finance",2025-12-24
Restaurant Search App Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/restaurant_search_app_plan.md,"Erstelle einen detaillierten Plan für die Entwicklung einer mobilen App, die es Benutzern ermöglicht, nach Restaurants nach Stadt zu suchen. Die App sollte die folgenden Funktio...",AI 4 WORK,Profi,"Prozesse, Content",2025-12-24
