Titel,PromptURL,Beschreibung,Kategory,Level,Prompt Tags,Updated
Template Pack (AI 4 WORK) #14,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/24_template_pack_ai_4_work_14.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 WORK,Einsteiger,"Email, SOP, Template, Script, Automation",2025-12-24
Template Pack (AI 4 WORK) #19,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/29_template_pack_ai_4_work_19.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 WORK,Einsteiger,"Email, SOP, Template, Script, Automation",2025-12-24
Template Pack (AI 4 WORK) #4,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/14_template_pack_ai_4_work_4.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 WORK,Einsteiger,"Email, SOP, Template, Script, Automation",2025-12-24
Template Pack (AI 4 WORK) #9,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/19_template_pack_ai_4_work_9.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 WORK,Einsteiger,"Email, SOP, Template, Script, Automation",2025-12-24
Terms And Conditions Document,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/terms_and_conditions_document.md,"Erstelle ein umfassendes Allgemeine Geschäftsbedingungen-Dokument für eine UK-basierte Website, die Ressourcen, Coaching und personalisierte Roadmap-Entwicklung anbietet, einsch...",AI 4 WORK,Profi,"Content, Roadmap",2025-12-24
Testkonzepte analysieren,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_textanalyse/analyze_testing_concepts.md,"Stelle mir Klärungsfragen, bis du zu 95 % sicher bist, dass du die Aufgabe erfolgreich erledigen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Intern...",AI 4 OTHER,Einsteiger,Analyse,2025-12-24
Text für eine Thesis analysieren,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_textanalyse/analyze_text_for_thesis.md,"Bitte überarbeite den folgenden Text in einem akademischen Stil. Achte darauf, dass er überzeugend und gut strukturiert ist, da er den einleitenden Teil eines Thesis-Exposés bil...",AI 4 FINANCIAL WELLBEING,Profi,"Analyse, Research, Finance, Reporting",2025-12-24
Textverhaltensmuster analysieren,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_textanalyse/analyze_text_behavior_patterns.md,"Stelle mir Klärungsfragen, bis du zu 95 % sicher bist, dass du die Aufgabe erfolgreich erledigen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Intern...",AI 4 OTHER,Profi,"Analyse, Finance",2025-12-24
Thanksgiving Coloring Book Outline,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/thanksgiving_coloring_book_outline.md,Erstelle einen detaillierten Entwurf für ein Thanksgiving-Malbuch mit 48 Seiten. Die folgenden Komponenten sollten berücksichtigt werden:,AI 4 WORK,Profi,Content,2025-12-24
Ticket-Writer (Jira),https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/06_ticket_writer_jira.md,"Schreibt saubere Tickets (Akzeptanzkriterien, Risiken, Tests).",AI 4 WORK,Einsteiger,"SOP, Automation, Prozesse",2025-12-24
Titel des Prompts,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/_template_prompt.md,"Kurz beschreiben, wofür der Prompt gedacht ist und welchen Nutzen er liefert.",AI 4 RETAIL,Einsteiger,"Template, Retail",2025-12-24
To Flashcards,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/to_flashcards.md,"Erstelle ein Set von Lernkarten für einen Pflegestudenten. Jede Lernkarte sollte haben: - Einen Fachbegriff aus der Pflege auf einer Seite. - Eine klare, anfängerfreundliche Def...",AI 4 WORK,Einsteiger,,2025-12-24
Transcribe Youtube Video,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/transcribe_youtube_video.md,,AI 4 THOUGHT LEADERSHIP,Profi,Script,2025-12-24
Transcribe Youtube Videos,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/transcribe_youtube_videos.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, dass du die Aufgabe erfolgreich erledigen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Intern...",AI 4 WORK,Profi,"Script, Prozesse, Content",2025-12-24
Transcribing Tiktok Videos,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/transcribing_tiktok_videos.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, die Aufgabe erfolgreich abschließen zu können. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Internet ...",AI 4 WORK,Profi,"Script, Automation, Prozesse",2025-12-24
Transform Interior Design Style,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail/transform_interior_design_style.md,"Erstelle einen ChatGPT-Prompt, der ChatGPT anleitet, ein Interieur-Foto in einen neuen Designstil zu verwandeln, während bestimmte Elemente beibehalten werden:",AI 4 RETAIL,Profi,Retail,2025-12-24
Transform Resume For Interviews,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/transform_resume_for_interviews.md,"Erstelle eine Strategie, um einen Lebenslauf in eine Reihe prägnanter und klarer Folien für Interview-Präsentationen zu transformieren, speziell entwickelt, um den Fokus zu wahr...",AI 4 WORK,Profi,"Content, Strategie",2025-12-24
Transform Video Transcript,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/transform_video_transcript.md,"Du hast die Aufgabe, ein Video-Transkript in ein umfassendes Lernwerkzeug zu transformieren, das mehreren Zwecken dient. Beginne mit dem Copywriting-Video-Transkript:",AI 4 WORK,Experte,"Email, Template, Script, Mindset, Content",2025-12-24
Transformers Coloring Book,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/Transformers_Coloring_Book.md,"Erstelle einen detaillierten und vielseitigen ChatGPT-Prompt für die Gestaltung eines Transformers-thematischen Schwarz-Weiß-Malbuchs, das für die Verwendung auf mehreren Plattf...",AI 4 FREE EDUCATION,Einsteiger,"Kids, Content",2025-12-24
Transforming Ai Text,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/transforming_ai_text.md,"Stellen Sie mir klärende Fragen, bis Sie zu 95% sicher sind, dass Sie die Aufgabe erfolgreich abschließen können. Atmen Sie tief durch und gehen Sie Schritt für Schritt vor. Den...",AI 4 WORK,Profi,"Content, Strategie",2025-12-24
Trend vs. Ich Check,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail_closella/05_trend_vs_ich_check.md,"Prüft, ob ein Trend zu dir passt, ohne dass du dich verkleidest.",AI 4 RETAIL,Einsteiger,"Finance, Retail, Decision",2025-12-23
Tweet,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/tweet.md,Titel: Ein umfassender Leitfaden zur Erstellung ansprechender Tweets mit Emojis,AI 4 WORK,Experte,"Email, Analyse, Prozesse, Content, Adoption",2025-12-24
Tägliche Methode für digitales Marketing,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_content/Digital%20Marketing%20Daily%20Method.md,"Erstelle eine detaillierte tägliche Arbeitsmethode für einen Kurs zu digitalem Marketing, den du kürzlich gekauft hast. Nutze die folgenden Schritte, um eine strukturierte und w...",AI 4 KIDS,Einsteiger,"Kids, Content, Training, Strategie",2025-12-24
Uk Tax Consultancy Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/uk_tax_consultancy_guide.md,Erstelle einen umfassenden Leitfaden für die Einrichtung eines UK-basierten Steuerberatungsdienstes unter Verwendung eines benutzerdefinierten ChatGPT-Modells. Füge die folgende...,AI 4 WORK,Experte,"Prozesse, Finance, Training, Reporting",2025-12-24
Understanding Pas Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/understanding_pas_guide.md,Erstelle einen Leitfaden zum Verständnis der PAS-Bedingung (Post-Acute Sequelae). Deine Antwort sollte die folgenden Aspekte im Detail abdecken:,AI 4 WORK,Profi,"Research, Strategie",2025-12-24
Usage-Gap Diagnose,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/01_usage_gap_diagnose.md,"Ermittelt, warum AI-Tools nicht genutzt werden und welche 3 Hebel sofort wirken.",AI 4 ENABLEMENT,Profi,"Prozesse, Safety, Training, Adoption, Reporting",2025-12-24
Utilitarianism Analysis,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/utilitarianism_analysis.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, dass du die Aufgabe erfolgreich erledigen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, das Inter...",AI 4 WORK,Einsteiger,"Analyse, Decision",2025-12-24
Vermögens-Snapshot (Net Worth),https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/01_vermoegens_snapshot_net_worth.md,"Erstellt eine klare Vermögensübersicht und leitet nächste Schritte ab. Bildung, keine Anlageberatung.",AI 4 WEALTH,Profi,"Finance, Wealth, Reporting",2025-12-24
Veterinary Franchise Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/veterinary_franchise_guide.md,Entwickle einen umfassenden Leitfaden und ein Unterstützungssystem für die Einrichtung und Führung eines Tierarztpraxis-Franchise mit ChatGPT. Die folgenden Bereiche sollten abg...,AI 4 WORK,Experte,"Template, Finance, Safety, Training, Strategie",2025-12-24
Viral Content Strategy,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/Viral%20Content%20Strategy.md,"Agieren Sie als Social-Media-Markenstratege und Content-Berater. Ich möchte, dass Sie mir helfen, eine virale Content-Strategie für Instagram und TikTok zu entwickeln, die mir F...",AI 4 THOUGHT LEADERSHIP,Profi,"Finance, Mindset, Content, Strategie",2025-12-24
Virtual Assistant Recruitment,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/virtual_assistant_recruitment.md,Ich benötige deine Hilfe bei der Erstellung einer umfassenden Vorlage für die Einstellung eines Virtual Assistant (VA) / Online Business Manager (OBM). Die Vorlage sollte die fo...,AI 4 WORK,Experte,"Email, Analyse, Template, Research, Content",2025-12-24
Virtual Learning Platform Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/virtual_learning_platform_plan.md,"Ich benötige Hilfe bei der Entwicklung eines umfassenden Plans zur Einführung einer virtuellen Lernplattform, die sich an Schulen und Schüler richtet und sich auf die Vermittlun...",AI 4 WORK,Einsteiger,"Email, Automation, Prozesse, Kids, Content",2025-12-24
Visualize Diabetes Manuscript,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/visualize_diabetes_manuscript.md,Du unterstützt bei der Entwicklung eines Sachbuchs über Typ-2-Diabetes. Der Autor möchte deine Hilfe bei der Analyse des gesamten Inhalts des Manuskripts und der automatischen I...,AI 4 ENABLEMENT,Profi,"Analyse, Script, Automation, Content, Decision",2025-12-24
Vitamin Recommendation App Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/vitamin_recommendation_app_plan.md,Entwirf einen detaillierten Plan für die Entwicklung einer App mit Fokus auf Vitaminempfehlungen. Behandle die folgenden Komponenten in der Funktionalität und Benutzererfahrung ...,AI 4 WORK,Profi,,2025-12-24
Voice Notes Overview,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/voice_notes_overview.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, dass du die Aufgabe erfolgreich erledigen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, das Inter...",AI 4 WORK,Einsteiger,Email,2025-12-24
Website Evaluation Public Speaking,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/website_evaluation_public_speaking.md,Bitte bewerte eine Website in der Branche für öffentliches Reden mit den folgenden Zielen:,AI 4 WORK,Profi,"Analyse, Reporting",2025-12-24
Website-Inhalte für ein Buchhaltungsunternehmen,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_content/accounting_business_website_content.md,Erstelle Inhalte für die Website eines neuen Buchhaltungsunternehmens. Die Website soll die folgenden Abschnitte und Details enthalten:,AI 4 FINANCIAL WELLBEING,Profi,"Finance, Content, Strategie",2025-12-24
Wellness Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/wellness_guide.md,"Erstellen Sie einen umfassenden Leitfaden zum allgemeinen Wohlbefinden, indem Sie die folgenden Komponenten behandeln:",AI 4 ENABLEMENT,Experte,"Training, Strategie",2025-12-24
Wharton Mba Courses Overview,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/wharton_mba_courses_overview.md,Sicherlich! Hier ist der ChatGPT-Prompt basierend auf der gegebenen Anfrage:,AI 4 WORK,Einsteiger,"Content, Training, Adoption",2025-12-24
Wharton Mba Finance Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_kids/wharton_mba_finance_guide.md,Erstelle einen umfassenden Leitfaden zum Erwerb eines MBA in Finanzen von der Wharton School. Behandle folgende Bereiche:,AI 4 KIDS,Profi,"Workshop, Finance, Kids, Training",2025-12-24
Whatsapp Patient Response,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/WhatsApp%20Patient%20Response.md,"Erstelle einen detaillierten und umfassenden ChatGPT-Prompt, der hilft, solche Antworten zu generieren, und sicherstellt, dass er alle oben aufgeführten notwendigen Komponenten ...",AI 4 WORK,Experte,"Content, Training",2025-12-24
Whole Foods And Cellular Health,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/whole_foods_and_cellular_health.md,"Erstelle einen fesselnden und überzeugenden Langform-Inhalt, der die kraftvolle Verbindung zwischen folgenden Themen untersucht:",AI 4 THOUGHT LEADERSHIP,Profi,"Content, Newsletter",2025-12-24
Widerstand & Einwände,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/09_widerstand_einwaende.md,"Gibt dir eine Einwand-Bibliothek + Antworten, ohne defensiv zu wirken.",AI 4 ENABLEMENT,Einsteiger,"Training, Adoption",2025-12-24
Workflow Mapping in 45 Minuten,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/01_workflow_mapping_in_45_minuten.md,Leitet dir die besten Automations-Chancen aus einem Prozess-Interview ab.,AI 4 WORK,Profi,"Email, SOP, Template, Automation, Prozesse",2025-12-24
Write 3 Tips Post,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/write_3_tips_post.md,• Thema: [Geben Sie Ihr gewähltes Thema an] • Drei Tipps: [Listen Sie Ihre drei Hauptratschläge auf] • Gewünschtes Ergebnis: [Nennen Sie das ultimative Ziel beim Befolgen dieser...,AI 4 THOUGHT LEADERSHIP,Experte,,2025-12-24
